Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,drib_Att,drib_Succ%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
nabil aberdin,Getafe,37,49,1,1,0,,183,0,0,1,1,2023-2024,laliga
abner,Betis,344,405,226,28,13,53.8,949,10,5,18,11,2023-2024,laliga
abdel abqar,Alavés,570,422,42,21,5,60.0,1418,6,0,15,1,2023-2024,laliga
marcos acuna,Sevilla,270,476,253,10,21,47.6,1224,20,4,20,16,2023-2024,laliga
julen agirrezabala,Athletic Club,104,0,0,0,0,,192,0,0,0,0,2023-2024,laliga
lucien agoume,Sevilla,108,245,83,12,8,87.5,590,3,2,4,4,2023-2024,laliga
joseph aidoo,Celta Vigo,132,107,6,2,2,100.0,322,0,0,1,2,2023-2024,laliga
ilias akhomach,Villarreal,89,271,403,70,128,44.5,2006,47,27,49,36,2023-2024,laliga
sergio akieme,Almería,338,420,216,20,40,52.5,1141,23,2,15,16,2023-2024,laliga
paul akouokou,Betis,10,14,3,0,0,,8,0,0,0,0,2023-2024,laliga
david alaba,Real Madrid,474,457,80,11,0,,2011,11,0,5,1,2023-2024,laliga
raul albiol,Villarreal,853,605,26,14,0,,2552,1,0,10,3,2023-2024,laliga
ruben alcaraz,Cádiz,470,1193,328,28,23,43.5,1909,27,3,28,27,2023-2024,laliga
omar alderete,Getafe,591,667,73,32,13,69.2,2701,13,0,8,5,2023-2024,laliga
ivan alejo,Cádiz,139,241,335,21,61,39.3,1399,41,1,54,28,2023-2024,laliga
carles alena,Getafe,74,251,223,22,28,21.4,402,14,5,25,18,2023-2024,laliga
mohamed ali cho,Real Sociedad,10,47,53,9,20,35.0,363,11,4,10,2,2023-2024,laliga
tadeo allende,Celta Vigo,19,66,60,11,8,37.5,223,4,1,8,8,2023-2024,laliga
domingos andre ribeiro almeida,Valencia,72,245,203,16,29,44.8,861,27,6,20,17,2023-2024,laliga
marcos alonso,Barcelona,59,100,89,7,6,50.0,388,10,2,2,3,2023-2024,laliga
adria altimira,Villarreal,200,278,82,2,16,68.8,644,6,0,7,5,2023-2024,laliga
sergi altimira,Betis,93,236,64,6,11,54.5,465,4,0,8,9,2023-2024,laliga
gaston alvarez,Getafe,508,648,178,22,21,42.9,1283,12,0,27,10,2023-2024,laliga
hugo alvarez,Celta Vigo,96,188,263,32,29,55.2,1108,15,16,15,13,2023-2024,laliga
yeray alvarez,Athletic Club,344,440,31,7,3,66.7,1856,9,1,8,0,2023-2024,laliga
selim amallah,Valencia,48,133,117,16,42,42.9,358,13,2,29,15,2023-2024,laliga
amath,Mallorca,32,79,90,21,25,32.0,478,8,9,22,8,2023-2024,laliga
miguel angel rubio,Granada,567,381,30,17,7,71.4,1586,5,0,10,2,2023-2024,laliga
fabrizio angileri,Getafe,34,52,37,1,4,50.0,92,2,0,1,0,2023-2024,laliga
mauro arambarri,Getafe,30,115,44,6,6,33.3,214,6,0,5,5,2023-2024,laliga
jon aramburu,Real Sociedad,92,214,91,3,7,28.6,347,10,0,6,6,2023-2024,laliga
julian araujo,Las Palmas,306,535,178,14,20,60.0,926,16,3,29,2,2023-2024,laliga
ronald araujo,Barcelona,732,1000,92,34,11,72.7,3750,14,2,14,4,2023-2024,laliga
adu ares,Athletic Club,21,63,70,6,24,62.5,361,3,5,8,4,2023-2024,laliga
jesus areso,Osasuna,367,682,643,23,82,53.7,2388,60,8,52,25,2023-2024,laliga
matias arezo,Granada,14,70,45,11,1,100.0,182,3,4,6,4,2023-2024,laliga
inigo arguibide,Osasuna,4,3,1,0,0,,0,0,0,1,0,2023-2024,laliga
jose arnaiz,Osasuna,37,158,256,30,29,37.9,747,20,7,27,24,2023-2024,laliga
sergio arribas,Almería,118,498,411,78,49,32.7,1685,39,12,40,16,2023-2024,laliga
kepa arrizabalaga,Real Madrid,471,3,0,0,0,,808,0,0,0,0,2023-2024,laliga
iago aspas,Celta Vigo,99,650,816,137,47,61.7,2527,61,25,52,36,2023-2024,laliga
ezequiel avila,Osasuna,41,183,253,28,18,27.8,429,16,5,12,1,2023-2024,laliga
ezequiel avila,Betis,9,47,69,10,4,50.0,184,4,1,5,3,2023-2024,laliga
cesar azpilicueta,Atlético Madrid,381,613,179,12,6,16.7,2153,22,3,10,6,2023-2024,laliga
iddrisu baba,Almería,254,521,58,4,19,73.7,844,3,0,18,7,2023-2024,laliga
sran babic,Almería,29,38,2,1,0,,199,1,0,0,0,2023-2024,laliga
loic bade,Sevilla,920,692,55,24,21,52.4,2358,8,1,12,4,2023-2024,laliga
alex baena,Villarreal,224,650,693,102,53,49.1,2765,58,23,66,33,2023-2024,laliga
eric bailly,Villarreal,282,175,9,3,8,87.5,816,2,0,4,3,2023-2024,laliga
cedric bakambu,Betis,3,35,28,11,3,33.3,110,2,3,11,4,2023-2024,laliga
alejandro balde,Barcelona,215,394,384,40,53,37.7,2213,36,20,32,16,2023-2024,laliga
ivan balliu,Rayo Vallecano,477,797,471,33,20,35.0,1825,29,5,28,11,2023-2024,laliga
jonathan bamba,Celta Vigo,119,457,487,91,106,39.6,2946,48,31,49,24,2023-2024,laliga
leo baptistao,Almería,123,416,267,67,28,42.9,1118,21,8,38,17,2023-2024,laliga
kike barja,Osasuna,15,55,98,14,22,50.0,357,8,5,17,7,2023-2024,laliga
ander barrenetxea,Real Sociedad,82,307,415,68,78,48.7,1479,35,22,55,45,2023-2024,laliga
pablo barrios,Atlético Madrid,239,622,238,15,47,74.5,1661,39,3,40,23,2023-2024,laliga
marc bartra,Betis,86,49,7,4,2,100.0,215,3,0,1,2,2023-2024,laliga
augusto batalla,Granada,719,14,2,2,3,100.0,1348,0,0,1,0,2023-2024,laliga
bebe,Rayo Vallecano,8,55,88,7,22,54.5,390,10,5,10,3,2023-2024,laliga
sheraldo becker,Real Sociedad,13,85,207,42,8,50.0,591,9,8,15,5,2023-2024,laliga
hector bellerin,Betis,349,544,286,24,48,35.4,1735,25,7,26,17,2023-2024,laliga
jude bellingham,Real Madrid,202,978,746,135,97,51.5,3434,73,26,53,40,2023-2024,laliga
fran beltran,Celta Vigo,326,985,297,12,24,50.0,2041,33,2,28,20,2023-2024,laliga
carlos benavidez,Alavés,173,348,113,11,4,50.0,508,10,1,11,5,2023-2024,laliga
yuri berchiche,Athletic Club,437,754,327,34,13,69.2,1786,31,5,12,10,2023-2024,laliga
alex berenguer,Athletic Club,87,259,480,74,61,34.4,1430,35,23,42,36,2023-2024,laliga
antonio blanco,Alavés,339,740,224,18,33,57.6,1271,15,3,19,22,2023-2024,laliga
daley blind,Girona,1192,1426,271,27,26,65.4,4795,30,3,18,3,2023-2024,laliga
adri bosch,Granada,10,8,0,0,0,,43,0,0,0,0,2023-2024,laliga
yassine bounou,Sevilla,30,1,0,0,0,,64,0,0,0,0,2023-2024,laliga
lucas boye,Granada,133,560,454,119,130,40.8,1036,42,16,114,86,2023-2024,laliga
darko brasanac,Osasuna,1,8,8,1,0,,50,1,0,0,0,2023-2024,laliga
brau,Granada,4,4,6,1,1,100.0,45,2,0,1,0,2023-2024,laliga
claudio bravo,Betis,239,2,0,0,0,,591,0,0,0,0,2023-2024,laliga
ben brereton,Villarreal,12,35,63,13,10,20.0,211,12,3,5,5,2023-2024,laliga
ante budimir,Osasuna,53,307,382,152,31,32.3,504,12,17,81,31,2023-2024,laliga
manu bueno,Sevilla,26,30,13,0,2,50.0,85,2,0,7,1,2023-2024,laliga
pablo busto,Betis,8,17,8,0,1,100.0,52,0,0,0,1,2023-2024,laliga
jose callejon,Granada,101,199,150,20,9,33.3,426,10,1,10,6,2023-2024,laliga
eduardo camavinga,Real Madrid,399,885,344,20,69,52.2,3129,56,5,26,24,2023-2024,laliga
sergio camello,Rayo Vallecano,47,278,265,62,49,32.7,637,20,10,53,26,2023-2024,laliga
jose campana,Las Palmas,54,104,23,0,3,33.3,184,1,0,4,2,2023-2024,laliga
