Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Block_Pass,Clearences,Err,Season,Competition
valentin atangana edoa,Reims,32,30,7,73.7,28,50,37,31,15,16,64,0,2024-2025,ligue-1
florian aye,Auxerre,0,0,2,0.0,0,2,7,7,0,7,6,0,2024-2025,ligue-1
andre ayew,Le Havre,3,7,8,53.8,7,10,3,9,2,7,21,1,2024-2025,ligue-1
neil el aynaoui,Lens,18,15,6,35.3,12,21,30,34,8,26,29,0,2024-2025,ligue-1
shavy babicka,Toulouse,6,11,4,47.6,10,12,3,14,0,14,4,3,2024-2025,ligue-1
juma bah,Lens,6,10,0,71.4,5,10,17,10,7,3,47,1,2024-2025,ligue-1
theo bair,Auxerre,1,2,1,0.0,0,3,3,6,2,4,10,0,2024-2025,ligue-1
mitchel bakker,Lille,6,11,6,52.6,10,13,12,10,1,9,15,0,2024-2025,ligue-1
darryl bakola,Marseille,0,1,0,,0,1,0,0,0,0,0,0,2024-2025,ligue-1
dilane bakwa,Strasbourg,11,8,7,50.0,12,14,15,21,1,20,27,0,2024-2025,ligue-1
leonardo balerdi,Marseille,32,17,5,57.4,27,39,38,25,14,11,72,4,2024-2025,ligue-1
fode ballotoure,Le Havre,3,4,1,55.6,5,7,4,8,3,5,27,0,2024-2025,ligue-1
folarin balogun,Monaco,0,0,1,0.0,0,1,1,0,0,0,0,0,2024-2025,ligue-1
abdoulaye bamba,Angers,17,4,1,73.7,14,12,19,14,8,6,79,0,2024-2025,ligue-1
mohamed bamba,Reims,0,0,0,0.0,0,0,0,2,1,1,1,0,2024-2025,ligue-1
valentin barco,Strasbourg,24,10,2,73.3,22,22,13,8,3,5,28,1,2024-2025,ligue-1
bradley barcola,Paris S-G,10,8,9,25.8,8,17,19,25,2,23,12,0,2024-2025,ligue-1
melvin bard,Nice,35,13,5,57.1,24,36,29,38,13,25,60,3,2024-2025,ligue-1
gabriel bares,Montpellier,2,0,0,50.0,1,2,1,0,0,0,3,0,2024-2025,ligue-1
teo barisic,Lyon,0,0,0,,0,0,0,0,0,0,1,0,2024-2025,ligue-1
dylan batubinsika,Saint-Étienne,19,6,1,59.1,13,13,39,23,14,9,140,3,2024-2025,ligue-1
haris belkebla,Angers,38,15,3,57.8,26,38,35,30,9,21,46,1,2024-2025,ligue-1
yassin belkhdim,Angers,26,21,6,46.6,27,27,21,23,6,17,41,1,2024-2025,ligue-1
eliesse ben seghir,Monaco,12,12,7,56.3,18,22,13,20,0,20,4,0,2024-2025,ligue-1
ismael bennacer,Marseille,8,12,1,66.7,12,10,10,6,0,6,2,1,2024-2025,ligue-1
said benrahma,Lyon,4,4,1,30.0,3,5,3,6,0,6,2,0,2024-2025,ligue-1
nabil bentaleb,Lille,2,0,2,42.9,3,3,5,5,0,5,7,2,2024-2025,ligue-1
lucas beraldo,Paris S-G,30,8,0,62.2,23,31,21,16,8,8,63,3,2024-2025,ligue-1
maxime bernauer,Saint-Étienne,5,2,2,62.5,5,9,5,7,3,4,44,1,2024-2025,ligue-1
dimitry bertaud,Montpellier,0,0,0,,0,0,0,0,0,0,2,0,2024-2025,ligue-1
mika biereth,Monaco,0,3,2,42.9,3,5,4,11,0,11,7,0,2024-2025,ligue-1
emmanuel biumla,Angers,14,5,0,66.7,12,12,8,18,8,10,84,1,2024-2025,ligue-1
marco bizot,Brest,2,0,0,50.0,1,1,0,0,0,0,33,0,2024-2025,ligue-1
ludovic blas,Rennes,9,12,17,54.8,23,25,13,16,2,14,11,0,2024-2025,ligue-1
augustine boakye,Saint-Étienne,3,4,0,27.3,3,3,6,5,0,5,4,0,2024-2025,ligue-1
matheo bodmer,Le Havre,0,0,0,,0,0,0,0,0,0,1,0,2024-2025,ligue-1
jeremie boga,Nice,2,5,3,50.0,4,5,3,13,0,13,2,1,2024-2025,ligue-1
moise bombito,Nice,22,12,3,68.6,24,25,18,35,19,16,121,7,2024-2025,ligue-1
saimon bouabre,Monaco,0,1,0,0.0,0,0,0,1,0,1,0,0,2024-2025,ligue-1
ayyoub bouaddi,Lille,21,21,8,59.4,19,31,10,12,3,9,12,1,2024-2025,ligue-1
badredine bouanani,Nice,4,4,3,33.3,6,4,11,16,3,13,4,0,2024-2025,ligue-1
benjamin bouchouari,Saint-Étienne,15,13,5,34.8,16,27,17,21,1,20,15,2,2024-2025,ligue-1
hicham boudaoui,Nice,28,37,11,58.5,31,52,22,40,11,29,45,1,2024-2025,ligue-1
justin bourgault,Brest,1,1,0,,0,1,0,0,0,0,1,0,2024-2025,ligue-1
benjamin bourigeaud,Rennes,0,1,0,0.0,0,0,2,2,1,1,1,0,2024-2025,ligue-1
bilal brahimi,Nice,0,0,0,,0,0,0,1,0,1,2,0,2024-2025,ligue-1
lilian brassier,Marseille,8,0,0,83.3,5,6,9,8,3,5,28,2,2024-2025,ligue-1
lilian brassier,Rennes,11,4,0,81.8,9,12,22,17,10,7,62,1,2024-2025,ligue-1
anthony briancon,Saint-Étienne,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,ligue-1
aurelio buta,Reims,22,11,4,50.0,21,24,22,19,5,14,59,0,2024-2025,ligue-1
marcin buka,Nice,0,0,0,0.0,0,0,0,0,0,0,16,6,2024-2025,ligue-1
remy cabella,Lille,16,13,10,57.6,19,19,8,10,1,9,5,0,2024-2025,ligue-1
mathieu cafaro,Saint-Étienne,4,4,2,26.7,4,7,7,7,1,6,3,0,2024-2025,ligue-1
duje caletacar,Lyon,11,9,0,52.6,10,12,17,33,25,8,97,2,2024-2025,ligue-1
issiaga camara,Nice,0,2,0,0.0,0,1,3,0,0,0,0,0,2024-2025,ligue-1
lamine camara,Monaco,22,34,10,54.2,26,41,31,30,4,26,32,1,2024-2025,ligue-1
mahdi camara,Brest,16,38,17,52.2,24,40,33,40,5,35,29,0,2024-2025,ligue-1
ousmane camara,Angers,3,1,0,50.0,1,3,0,1,1,0,18,0,2024-2025,ligue-1
axel camblan,Brest,0,0,1,50.0,1,1,0,1,0,1,0,0,2024-2025,ligue-1
jaydee canvot,Toulouse,16,5,2,66.7,12,11,11,10,2,8,54,1,2024-2025,ligue-1
pierrick capelle,Angers,10,9,5,50.0,9,17,11,4,1,3,5,1,2024-2025,ligue-1
gabin capuano,Lens,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,ligue-1
maxence caqueret,Lyon,5,11,5,18.2,4,11,7,12,2,10,2,0,2024-2025,ligue-1
simon cara,Montpellier,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,ligue-1
valentin carboni,Marseille,0,1,1,0.0,0,2,1,1,0,1,1,0,2024-2025,ligue-1
irvin cardona,Saint-Étienne,3,3,0,14.3,2,5,4,16,3,13,6,2,2024-2025,ligue-1
patrik carlgren,Nantes,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,ligue-1
josue casimir,Le Havre,15,15,7,50.0,9,26,7,19,0,19,35,1,2024-2025,ligue-1
cristian casseres jr,Toulouse,41,43,12,52.3,46,61,42,35,9,26,36,1,2024-2025,ligue-1
jeancharles castelletto,Nantes,17,15,2,63.0,17,17,25,27,18,9,151,0,2024-2025,ligue-1
enzo caumont,Angers,0,1,0,50.0,1,1,1,1,1,0,1,0,2024-2025,ligue-1
fabien centonze,Nantes,5,2,1,66.7,4,4,2,4,1,3,17,0,2024-2025,ligue-1
brendan chardonnet,Brest,28,14,3,62.5,25,33,29,45,28,17,169,2,2024-2025,ligue-1
jhoanner chavez,Lens,4,4,1,28.6,2,5,6,10,1,9,13,0,2024-2025,ligue-1
theo chennahi,Montpellier,3,3,0,57.1,4,3,2,3,0,3,6,0,2024-2025,ligue-1
sidiki cherif,Angers,1,3,1,75.0,3,5,0,4,1,3,0,1,2024-2025,ligue-1
rayan cherki,Lyon,3,8,4,21.4,6,12,7,6,0,6,6,0,2024-2025,ligue-1
lucas chevalier,Lille,3,0,0,75.0,3,2,0,0,0,0,13,4,2024-2025,ligue-1
pedro chirivella,Nantes,23,16,5,45.2,19,29,19,25,4,21,45,0,2024-2025,ligue-1
joris chotard,Montpellier,17,20,2,43.5,20,27,19,28,10,18,52,1,2024-2025,ligue-1
djaoui cisse,Rennes,12,15,6,61.5,16,18,13,29,4,25,11,1,2024-2025,ligue-1
yoann cisse,Auxerre,0,0,0,,0,0,1,0,0,0,0,0,2024-2025,ligue-1
jonathan clauss,Nice,27,19,6,50.0,28,35,48,25,2,23,68,3,2024-2025,ligue-1
marcus coco,Nantes,15,9,3,51.6,16,21,11,16,5,11,46,0,2024-2025,ligue-1
alois confais,Le Havre,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,ligue-1
francis coquelin,Nantes,5,3,1,75.0,3,5,6,3,1,2,3,0,2024-2025,ligue-1
derek cornelius,Marseille,15,8,1,77.3,17,17,14,16,10,6,51,0,2024-2025,ligue-1
pierre cornud,Saint-Étienne,6,4,2,47.1,8,10,9,9,4,5,28,1,2024-2025,ligue-1
david costa,Lens,1,1,0,25.0,1,0,1,5,1,4,0,0,2024-2025,ligue-1
logan costa,Toulouse,0,2,0,100.0,1,1,2,2,2,0,4,0,2024-2025,ligue-1
gregoire coudert,Brest,0,0,0,,0,0,0,0,0,0,1,0,2024-2025,ligue-1
lasso coulibaly,Auxerre,0,0,1,,0,1,0,0,0,0,0,0,2024-2025,ligue-1
mamadou coulibaly,Monaco,0,1,0,,0,0,0,0,0,0,0,0,2024-2025,ligue-1
soumaila coulibaly,Brest,2,2,0,100.0,1,2,5,7,2,5,26,0,2024-2025,ligue-1
tanguy coulibaly,Montpellier,13,15,4,42.4,14,24,11,18,2,16,3,1,2024-2025,ligue-1
marius courcoul,Angers,3,2,0,40.0,2,2,5,4,0,4,9,0,2024-2025,ligue-1
nicolas cozza,Nantes,35,18,6,66.0,31,41,25,25,10,15,69,0,2024-2025,ligue-1
charlie cresswell,Toulouse,19,15,1,60.9,28,23,28,44,28,16,191,3,2024-2025,ligue-1
kevin danois,Auxerre,20,22,7,43.5,20,30,20,17,3,14,20,0,2024-2025,ligue-1
kevin danso,Lens,12,5,2,75.0,12,7,20,25,19,6,62,1,2024-2025,ligue-1
dante,Nice,17,13,2,51.7,15,15,34,29,14,15,74,1,2024-2025,ligue-1
pape daouda diongue,Strasbourg,1,1,0,50.0,1,0,3,0,0,0,2,0,2024-2025,ligue-1
mohamed daramy,Reims,0,0,0,,0,0,0,0,0,0,1,0,2024-2025,ligue-1
jonathan david,Lille,3,12,9,42.9,9,8,7,13,2,11,10,1,2024-2025,ligue-1
zuriko davitashvili,Saint-Étienne,9,7,6,30.6,15,14,14,20,0,20,14,0,2024-2025,ligue-1
theo de percin,Auxerre,0,0,0,0.0,0,0,0,0,0,0,3,0,2024-2025,ligue-1
thibault de smet,Reims,5,1,0,100.0,4,4,4,5,3,2,12,0,2024-2025,ligue-1
amar dedic,Marseille,2,2,1,30.0,3,4,3,0,0,0,12,1,2024-2025,ligue-1
romain del castillo,Brest,9,13,9,59.4,19,22,6,16,0,16,5,0,2024-2025,ligue-1
thomas delaine,Strasbourg,1,0,0,100.0,1,1,1,0,0,0,1,0,2024-2025,ligue-1
andy delort,Montpellier,1,2,1,50.0,1,3,0,3,1,2,3,0,2024-2025,ligue-1
ousmane dembele,Paris S-G,0,7,4,33.3,4,5,9,3,0,3,2,1,2024-2025,ligue-1
remy descamps,Lyon,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,ligue-1
arthur desmas,Le Havre,0,0,0,0.0,0,0,0,0,0,0,9,1,2024-2025,ligue-1
mamadou diakhon,Reims,4,3,5,50.0,9,8,4,5,1,4,5,0,2024-2025,ligue-1
bafode diakite,Lille,17,11,3,69.2,18,18,27,30,17,13,99,5,2024-2025,ligue-1
oumar diakite,Reims,7,8,5,47.4,9,13,3,13,2,11,9,0,2024-2025,ligue-1
habib diarra,Strasbourg,6,13,3,40.0,8,13,13,22,6,16,46,3,2024-2025,ligue-1
krepin diatta,Monaco,13,2,3,58.3,14,12,9,5,1,4,12,2,2024-2025,ligue-1
kandet diawara,Le Havre,0,0,0,,0,0,0,1,0,1,1,0,2024-2025,ligue-1
mahamadou diawara,Le Havre,10,8,2,61.5,8,12,13,13,6,7,11,1,2024-2025,ligue-1
mahamadou diawara,Lyon,0,1,0,33.3,1,0,0,2,0,2,0,0,2024-2025,ligue-1
bamba dieng,Angers,1,2,1,0.0,0,1,0,2,0,2,3,0,2024-2025,ligue-1
kembo diliwidi,Lens,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,ligue-1
sinaly diomande,Auxerre,20,18,1,70.0,28,19,30,37,18,19,100,2,2024-2025,ligue-1
lois diony,Angers,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,ligue-1
serigne diop,Brest,0,1,0,,0,0,0,1,0,1,0,0,2024-2025,ligue-1
sofiane diop,Nice,16,3,4,40.9,9,16,17,19,2,17,7,1,2024-2025,ligue-1
andy diouf,Lens,10,22,5,40.0,16,26,15,24,1,23,18,2,2024-2025,ligue-1
yehvann diouf,Reims,2,0,0,33.3,1,1,1,0,0,0,22,4,2024-2025,ligue-1
assane diousse,Auxerre,9,5,1,35.7,5,7,12,6,2,4,15,0,2024-2025,ligue-1
alex dominguez,Toulouse,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,ligue-1
gianluigi donnarumma,Paris S-G,1,0,0,50.0,1,1,0,0,0,0,14,0,2024-2025,ligue-1
sekou doucoure,Nantes,0,0,0,,0,0,0,0,0,0,3,0,2024-2025,ligue-1
desire doue,Paris S-G,15,19,14,47.1,24,30,13,26,0,26,7,0,2024-2025,ligue-1
guela doue,Strasbourg,40,15,10,68.5,37,45,34,38,6,32,154,1,2024-2025,ligue-1
douglas,Nantes,29,31,9,59.1,26,42,32,51,11,40,47,0,2024-2025,ligue-1
ismael doukoure,Strasbourg,19,18,3,68.0,17,22,25,31,14,17,102,3,2024-2025,ligue-1
kamory doumbia,Brest,17,17,7,45.2,14,29,28,17,1,16,13,1,2024-2025,ligue-1
amidou doumbouya,Nice,0,0,1,100.0,1,1,1,3,1,2,1,0,2024-2025,ligue-1
jeankevin duverne,Nantes,13,4,4,55.6,15,12,8,10,3,7,23,0,2024-2025,ligue-1
stefan dzodic,Montpellier,3,5,0,62.5,5,5,5,5,4,1,10,1,2024-2025,ligue-1
aron dnnum,Toulouse,25,24,7,56.4,31,35,28,29,4,25,37,1,2024-2025,ligue-1
noah edjouma,Toulouse,0,1,1,50.0,1,2,2,1,1,0,2,0,2024-2025,ligue-1
jacques ekomie,Angers,9,10,3,66.7,8,14,4,16,5,11,14,0,2024-2025,ligue-1
pierre ekwah elimby,Saint-Étienne,18,30,6,60.7,34,33,47,26,12,14,72,1,2024-2025,ligue-1
meschak elia,Nantes,3,2,2,100.0,1,5,0,3,0,3,2,0,2024-2025,ligue-1
breel embolo,Monaco,7,7,8,31.3,5,17,3,11,0,11,10,1,2024-2025,ligue-1
emanuel emegha,Strasbourg,1,2,3,33.3,2,6,1,18,5,13,30,0,2024-2025,ligue-1
romain faivre,Brest,4,5,4,50.0,5,10,4,8,0,8,3,1,2024-2025,ligue-1
khalil fayad,Montpellier,12,17,2,53.6,15,16,10,18,1,17,15,1,2024-2025,ligue-1
luiz felipe,Marseille,3,1,0,50.0,1,3,3,3,2,1,5,0,2024-2025,ligue-1
zinedine ferhat,Angers,1,5,3,30.8,4,7,10,9,0,9,12,0,2024-2025,ligue-1
edimilson fernandes,Brest,3,6,0,53.8,7,7,20,14,6,8,38,1,2024-2025,ligue-1
matias fernandezpardo,Lille,3,6,3,50.0,6,9,3,9,0,9,6,0,2024-2025,ligue-1
jordan ferri,Montpellier,18,22,2,40.9,18,23,9,20,3,17,20,0,2024-2025,ligue-1
karol fila,Strasbourg,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,ligue-1
malick fofana,Lyon,8,11,3,47.1,8,11,8,12,0,12,6,0,2024-2025,ligue-1
rayan fofana,Lens,1,1,0,,0,2,0,0,0,0,0,0,2024-2025,ligue-1
seko fofana,Rennes,4,6,1,28.6,2,7,7,7,1,6,7,0,2024-2025,ligue-1
yahia fofana,Angers,0,0,0,0.0,0,0,1,0,0,0,25,2,2024-2025,ligue-1
lamine fomba,Saint-Étienne,2,5,1,28.6,2,6,4,7,1,6,5,1,2024-2025,ligue-1
przemysaw frankowski,Lens,17,10,5,63.3,19,21,19,10,2,8,28,0,2024-2025,ligue-1
angelo fulgini,Lens,6,4,4,37.5,6,10,2,11,1,10,3,0,2024-2025,ligue-1
kyogo furuhashi,Rennes,1,1,0,100.0,1,2,0,0,0,0,0,0,2024-2025,ligue-1
gauthier gallon,Rennes,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,ligue-1
ignatius ganago,Nantes,0,1,0,50.0,1,1,4,3,1,2,2,0,2024-2025,ligue-1
ulisses garcia,Marseille,7,5,2,28.6,4,11,8,5,1,4,18,0,2024-2025,ligue-1
jeanphilippe gbamin,Nantes,0,2,0,25.0,1,1,3,5,2,3,2,0,2024-2025,ligue-1
mory gbane,Reims,16,4,0,54.2,13,11,18,12,10,2,90,1,2024-2025,ligue-1
yann gboho,Toulouse,7,15,9,40.0,14,18,6,20,0,20,4,1,2024-2025,ligue-1
denis genreau,Toulouse,4,1,2,50.0,4,5,3,3,0,3,4,0,2024-2025,ligue-1
aleksandr golovin,Monaco,9,20,9,43.6,17,24,12,16,4,12,7,0,2024-2025,ligue-1
andre gomes,Lille,9,11,7,35.5,11,13,6,7,1,6,11,2,2024-2025,ligue-1
angel gomes,Lille,4,4,2,16.7,2,6,0,0,0,0,2,0,2024-2025,ligue-1
carlos gomez,Rennes,3,4,1,33.3,3,6,2,6,0,6,2,0,2024-2025,ligue-1
mathieu gorgelin,Le Havre,2,0,0,66.7,2,2,0,0,0,0,8,2,2024-2025,ligue-1
amine gouiri,Marseille,0,1,4,66.7,2,5,1,9,0,9,1,0,2024-2025,ligue-1
amine gouiri,Rennes,4,4,1,25.0,2,6,2,8,0,8,5,0,2024-2025,ligue-1
jonathan gradit,Lens,22,19,3,57.5,23,23,25,27,12,15,122,2,2024-2025,ligue-1
samuel grandsir,Le Havre,0,3,2,66.7,2,5,0,2,0,2,0,0,2024-2025,ligue-1
mason greenwood,Marseille,10,14,11,41.0,16,18,12,7,0,7,5,2,2024-2025,ligue-1
albert grnbaek,Rennes,10,7,4,35.7,10,11,4,9,1,8,6,0,2024-2025,ligue-1
gabriel gudmundsson,Lille,15,15,6,63.9,23,25,17,19,7,12,41,3,2024-2025,ligue-1
axel gueguin,Montpellier,0,1,0,100.0,1,1,0,0,0,0,0,0,2024-2025,ligue-1
evann guessand,Nice,12,15,17,42.9,6,29,15,27,3,24,16,0,2024-2025,ligue-1
bahereba guirassy,Nantes,6,3,3,53.8,7,8,1,10,0,10,4,0,2024-2025,ligue-1
massadio haidara,Brest,16,9,2,44.8,13,16,26,18,2,16,73,0,2024-2025,ligue-1
achraf hakimi,Paris S-G,18,20,10,49.1,27,36,31,25,2,23,18,3,2024-2025,ligue-1
florent hanin,Angers,45,17,7,54.9,39,48,47,31,10,21,99,2,2024-2025,ligue-1
amine harit,Marseille,0,6,2,50.0,1,7,3,6,0,6,1,1,2024-2025,ligue-1
hans hateboer,Rennes,14,12,5,50.0,18,16,29,19,6,13,64,2,2024-2025,ligue-1
kjetil haug,Toulouse,0,0,0,,0,0,0,0,0,0,3,0,2024-2025,ligue-1
luis henrique,Marseille,7,6,3,90.0,9,9,10,15,2,13,30,0,2024-2025,ligue-1
lucas hernandez,Paris S-G,13,9,2,60.9,14,18,7,12,5,7,37,2,2024-2025,ligue-1
kijana hoever,Auxerre,26,16,9,55.6,30,38,21,33,3,30,70,1,2024-2025,ligue-1
cedric hountondji,Angers,4,2,0,42.9,3,4,4,3,3,0,14,0,2024-2025,ligue-1
ilyes housni,Le Havre,2,3,2,50.0,2,5,1,2,0,2,2,0,2024-2025,ligue-1
pierre hjbjerg,Marseille,25,32,7,53.6,37,45,42,28,4,24,33,2,2024-2025,ligue-1
hafiz ibrahim,Reims,0,1,2,0.0,0,2,2,4,2,2,6,0,2024-2025,ligue-1
george ilenikhena,Monaco,0,3,1,50.0,1,2,2,0,0,0,0,0,2024-2025,ligue-1
rares ilie,Nice,1,0,0,100.0,1,1,0,0,0,0,0,0,2024-2025,ligue-1
ismaily,Lille,17,12,4,65.4,17,17,13,15,1,14,49,0,2024-2025,ligue-1
yanis issoufou,Montpellier,4,1,1,60.0,3,4,0,1,0,1,1,0,2024-2025,ligue-1
junya ito,Reims,19,16,10,28.3,17,30,13,33,3,30,15,2,2024-2025,ligue-1
jeremy jacquet,Rennes,11,8,7,63.6,14,17,27,9,3,6,45,1,2024-2025,ligue-1
ismail jakobs,Monaco,3,0,2,60.0,3,5,2,0,0,0,6,0,2024-2025,ligue-1
jordan james,Rennes,8,18,4,53.3,16,19,14,14,1,13,17,1,2024-2025,ligue-1
malcolm jeng,Reims,0,0,0,,0,0,3,1,0,1,10,0,2024-2025,ligue-1
john joe,Reims,11,10,3,36.8,7,15,6,11,2,9,9,0,2024-2025,ligue-1
karljohan johnsson,Strasbourg,0,0,0,0.0,0,0,0,0,0,0,3,0,2024-2025,ligue-1
paul joly,Auxerre,30,17,2,60.0,27,32,25,19,1,18,32,5,2024-2025,ligue-1
jota,Rennes,2,3,0,57.1,4,2,3,1,0,1,2,0,2024-2025,ligue-1
antoine joujou,Le Havre,10,4,2,60.0,9,11,9,15,3,12,19,0,2024-2025,ligue-1
jubal,Auxerre,46,13,1,70.0,28,39,25,61,36,25,201,1,2024-2025,ligue-1
hamed junior traore,Auxerre,11,17,13,29.6,16,20,8,14,0,14,11,0,2024-2025,ligue-1
yaya kader fofana,Reims,8,5,4,33.3,4,11,3,11,2,9,2,0,2024-2025,ligue-1
tino kadewere,Nantes,5,3,6,46.2,6,8,6,3,0,3,8,0,2024-2025,ligue-1
arnaud kalimuendo,Rennes,6,9,4,46.7,7,12,4,9,2,7,16,1,2024-2025,ligue-1
justinnoel kalumba,Angers,0,0,0,,0,0,1,0,0,0,1,0,2024-2025,ligue-1
warren kamanzi,Toulouse,12,12,5,50.0,14,13,9,7,3,4,25,0,2024-2025,ligue-1
glen kamara,Rennes,10,11,2,64.7,11,11,7,7,0,7,7,0,2024-2025,ligue-1
noham kamara,Paris S-G,0,1,0,,0,1,1,1,1,0,1,0,2024-2025,ligue-1
nordine kandil,Strasbourg,0,0,0,,0,0,0,0,0,0,1,0,2024-2025,ligue-1
lee kangin,Paris S-G,7,11,7,54.3,19,17,3,11,1,10,3,1,2024-2025,ligue-1
yassine kechta,Le Havre,32,21,7,42.3,33,36,26,25,2,23,32,2,2024-2025,ligue-1
thilo kehrer,Monaco,26,11,0,57.9,22,23,36,18,10,8,113,1,2024-2025,ligue-1
reda khadra,Reims,1,0,0,0.0,0,1,0,0,0,0,1,0,2024-2025,ligue-1
wahbi khazri,Montpellier,5,16,4,38.1,8,18,5,13,1,12,7,0,2024-2025,ligue-1
abdukodir khusanov,Lens,9,5,1,63.6,7,11,26,17,11,6,57,0,2024-2025,ligue-1
presnel kimpembe,Paris S-G,1,0,0,,0,0,0,2,2,0,1,0,2024-2025,ligue-1
joshua king,Toulouse,4,4,3,41.7,5,11,6,10,3,7,19,0,2024-2025,ligue-1
cedric kipre,Reims,30,11,1,74.4,29,30,32,42,27,15,162,2,2024-2025,ligue-1
herve koffi,Lens,1,0,0,100.0,1,1,0,0,0,0,5,0,2024-2025,ligue-1
