nombre,club_actual,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,bloqueos,bloqueos_tiro,bloqueos_pase,temporada,liga
abner,betis,9,2,1,43.8,12,9,8,2,6,2022-2023,laliga
alvaro aceves,valladolid,0,0,0,,0,0,0,0,0,2022-2023,laliga
marcos acuna,sevilla,34,17,6,71.4,57,36,16,5,11,2022-2023,laliga
julen agirrezabala,athletic club,0,0,0,,0,0,0,0,0,2022-2023,laliga
alvaro aguado,valladolid,13,11,3,60.0,27,15,16,4,12,2022-2023,laliga
joseph aidoo,celta vigo,33,17,1,57.1,51,36,26,14,12,2022-2023,laliga
sergio akieme,almeria,19,6,2,54.5,27,16,22,6,16,2022-2023,laliga
babatunde akinsola,valladolid,0,0,1,,1,1,0,0,0,2022-2023,laliga
paul akouokou,betis,13,3,0,65.0,16,9,2,2,0,2022-2023,laliga
david alaba,real madrid,8,4,3,60.0,15,11,18,9,9,2022-2023,laliga
angel alarcon,barcelona,0,0,0,0.0,0,0,0,0,0,2022-2023,laliga
tomas alarcon,cadiz,0,2,1,50.0,3,2,1,0,1,2022-2023,laliga
jordi alba,barcelona,13,11,1,42.9,25,18,12,5,7,2022-2023,laliga
raul albiol,villarreal,17,6,2,77.8,25,17,17,13,4,2022-2023,laliga
ruben alcaraz,cadiz,24,18,1,35.2,43,31,23,8,15,2022-2023,laliga
omar alderete,getafe,21,14,0,70.0,35,20,23,16,7,2022-2023,laliga
ivan alejo,cadiz,19,9,4,45.9,32,21,18,3,15,2022-2023,laliga
carles alena,getafe,7,5,6,14.7,18,10,19,1,18,2022-2023,laliga
alejandro alfaro,elche,0,0,0,,0,0,0,0,0,2022-2023,laliga
angel algobia,getafe,14,13,0,45.8,27,13,15,5,10,2022-2023,laliga
mohamed ali cho,real sociedad,6,5,2,40.0,13,10,9,0,9,2022-2023,laliga
domingos andre ribeiro almeida,valencia,23,32,11,45.6,66,42,26,0,26,2022-2023,laliga
marcos alonso,barcelona,10,5,0,75.0,15,10,14,10,4,2022-2023,laliga
carlos alvarez,sevilla,0,1,0,,1,1,0,0,0,2022-2023,laliga
gaston alvarez,getafe,24,9,5,54.8,38,30,15,5,10,2022-2023,laliga
yeray alvarez,athletic club,26,7,1,77.4,34,23,23,13,10,2022-2023,laliga
selim amallah,valladolid,7,8,0,62.5,15,9,2,0,2,2022-2023,laliga
amath,mallorca,14,8,7,63.6,29,19,13,1,12,2022-2023,laliga
jordan amavi,getafe,3,0,0,33.3,3,2,3,0,3,2022-2023,laliga
marcos andre,valencia,1,1,2,50.0,4,1,4,1,3,2022-2023,laliga
fabrizio angileri,getafe,8,3,1,58.8,12,9,8,3,5,2022-2023,laliga
josep antoni gaya,mallorca,0,0,0,,0,0,4,2,2,2022-2023,laliga
jose antonio,cadiz,0,0,2,,2,1,0,0,0,2022-2023,laliga
anuar,valladolid,0,1,3,,4,4,5,2,3,2022-2023,laliga
mauro arambarri,getafe,9,4,1,17.6,14,6,17,5,12,2022-2023,laliga
ronald araujo,barcelona,12,13,1,66.7,26,18,15,7,8,2022-2023,laliga
adu ares,athletic club,2,1,1,100.0,4,2,1,0,1,2022-2023,laliga
sergio arribas,real madrid,0,0,0,,0,0,1,0,1,2022-2023,laliga
roberto arroyo,valladolid,0,1,0,100.0,1,1,0,0,0,2022-2023,laliga
ricard artero,girona,2,1,0,100.0,3,3,2,0,2,2022-2023,laliga
santiago arzamendia,cadiz,7,1,1,28.6,9,8,11,1,10,2022-2023,laliga
sergio asenjo,valladolid,0,0,0,,0,0,0,0,0,2022-2023,laliga
