nombre,club_actual,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,bloqueos,bloqueos_tiro,bloqueos_pase,temporada,liga
max aarons,bournemouth,1,1,0,100.0,2,2,3,1,2,2024-2025,premier-league
joshua acheampong,chelsea,2,0,0,100.0,2,1,1,0,1,2024-2025,premier-league
tyler adams,bournemouth,26,49,8,54.2,83,50,33,10,23,2024-2025,premier-league
tosin adarabioyo,chelsea,11,6,0,66.7,17,13,9,7,2,2024-2025,premier-league
simon adingra,brighton,10,8,5,38.5,23,14,12,0,12,2024-2025,premier-league
emmanuel agbadou,wolves,21,9,0,65.0,30,19,19,13,6,2024-2025,premier-league
asher agbinone,crystal palace,0,2,0,,2,1,0,0,0,2024-2025,premier-league
ola aina,nottham forest,39,15,1,56.3,55,42,34,12,22,2024-2025,premier-league
rayan aitnouri,wolves,52,28,9,61.4,89,57,42,6,36,2024-2025,premier-league
kristoffer ajer,brentford,14,11,1,51.9,26,18,17,4,13,2024-2025,premier-league
manuel akanji,manchester city,12,4,3,64.7,19,12,11,8,3,2024-2025,premier-league
nathan ake,manchester city,7,2,0,66.7,9,7,7,2,5,2024-2025,premier-league
carlos alcaraz,southampton,0,0,0,,0,0,0,0,0,2024-2025,premier-league
carlos alcaraz,everton,5,3,3,27.3,11,5,9,2,7,2024-2025,premier-league
trent alexanderarnold,liverpool,44,19,9,46.7,72,50,26,9,17,2024-2025,premier-league
alisson,liverpool,1,0,0,0.0,1,0,0,0,0,2024-2025,premier-league
miguel almiron,newcastle utd,2,0,1,66.7,3,2,2,0,2,2024-2025,premier-league
olabade aluko,leicester city,0,0,1,100.0,1,1,0,0,0,2024-2025,premier-league
edson alvarez,west ham,27,15,8,48.6,50,27,23,8,15,2024-2025,premier-league
will alves,leicester city,0,0,0,,0,0,0,0,0,2024-2025,premier-league
harry amass,manchester utd,5,1,0,25.0,6,2,11,1,10,2024-2025,premier-league
samuel amoameyaw,southampton,0,1,0,100.0,1,0,0,0,0,2024-2025,premier-league
mathis amougou,chelsea,0,0,0,,0,0,0,0,0,2024-2025,premier-league
joachim andersen,crystal palace,1,0,0,50.0,1,1,0,0,0,2024-2025,premier-league
joachim andersen,fulham,20,6,1,62.5,27,18,37,28,9,2024-2025,premier-league
elliot anderson,nottham forest,54,29,9,43.2,92,56,48,9,39,2024-2025,premier-league
andre,wolves,41,41,9,58.7,91,55,42,8,34,2024-2025,premier-league
michail antonio,west ham,0,1,1,66.7,2,2,6,0,6,2024-2025,premier-league
antony,manchester utd,4,2,0,40.0,6,3,2,0,2,2024-2025,premier-league
julian araujo,bournemouth,4,6,0,41.7,10,5,3,0,3,2024-2025,premier-league
cameron archer,southampton,8,3,2,22.2,13,8,5,1,4,2024-2025,premier-league
alphonse areola,west ham,2,0,0,66.7,2,2,0,0,0,2024-2025,premier-league
joe aribo,southampton,17,24,6,48.6,47,33,28,11,17,2024-2025,premier-league
adam armstrong,southampton,2,7,3,21.4,12,3,6,1,5,2024-2025,premier-league
harrison armstrong,everton,0,0,0,0.0,0,0,0,0,0,2024-2025,premier-league
kepa arrizabalaga,bournemouth,1,0,0,0.0,1,0,2,0,2,2024-2025,premier-league
marco asensio,aston villa,0,7,0,33.3,7,5,7,1,6,2024-2025,premier-league
brandon austin,tottenham,0,0,0,,0,0,0,0,0,2024-2025,premier-league
taiwo awoniyi,nottham forest,0,3,3,80.0,6,3,1,0,1,2024-2025,premier-league
yasin ayari,brighton,15,31,13,46.4,59,32,24,6,18,2024-2025,premier-league
jordan ayew,crystal palace,0,0,1,,1,0,0,0,0,2024-2025,premier-league
jordan ayew,leicester city,8,14,5,30.4,27,15,21,2,19,2024-2025,premier-league
benoit badiashile,chelsea,5,4,0,80.0,9,6,2,2,0,2024-2025,premier-league
leon bailey,aston villa,2,3,2,27.3,7,5,6,0,6,2024-2025,premier-league
carlos baleba,brighton,26,37,16,60.0,79,46,47,11,36,2024-2025,premier-league
ross barkley,aston villa,4,10,0,64.3,14,3,9,3,6,2024-2025,premier-league
harvey barnes,newcastle utd,4,6,6,27.3,16,9,8,2,6,2024-2025,premier-league
calvin bassey,fulham,35,19,0,71.0,54,34,40,17,23,2024-2025,premier-league
altay bayndr,manchester utd,0,0,0,0.0,0,0,0,0,0,2024-2025,premier-league
jan bednarek,southampton,23,13,0,51.6,36,19,47,36,11,2024-2025,premier-league
armel bella kotchap,southampton,5,2,0,50.0,7,5,2,2,0,2024-2025,premier-league
jeanricner bellegarde,wolves,17,19,3,70.0,39,24,19,3,16,2024-2025,premier-league
rodrigo bentancur,tottenham,19,17,4,47.5,40,22,25,8,17,2024-2025,premier-league
daniel bentley,wolves,0,0,0,,0,0,0,0,0,2024-2025,premier-league
sander berge,fulham,23,23,4,69.2,50,30,27,8,19,2024-2025,premier-league
lucas bergvall,tottenham,14,20,5,53.1,39,19,18,8,10,2024-2025,premier-league
victor bernth kristiansen,leicester city,56,26,5,53.8,87,51,38,15,23,2024-2025,premier-league
beto,everton,2,8,4,62.5,14,6,12,2,10,2024-2025,premier-league
philip billing,bournemouth,7,6,1,75.0,14,5,3,0,3,2024-2025,premier-league
yves bissouma,tottenham,20,25,4,55.9,49,31,11,6,5,2024-2025,premier-league
oscar bobb,manchester city,0,0,0,,0,0,0,0,0,2024-2025,premier-league
lamare bogarde,aston villa,6,6,2,62.5,14,6,5,3,2,2024-2025,premier-league
willy boly,nottham forest,5,1,0,100.0,6,1,4,2,2,2024-2025,premier-league
sven botman,newcastle utd,6,5,1,77.8,12,9,5,4,1,2024-2025,premier-league
jarrod bowen,west ham,13,12,16,47.5,41,26,22,4,18,2024-2025,premier-league
conor bradley,liverpool,7,5,2,50.0,14,10,9,2,7,2024-2025,premier-league
jarrad branthwaite,everton,26,10,0,71.4,36,20,31,23,8,2024-2025,premier-league
james bree,southampton,8,10,1,40.0,19,14,10,3,7,2024-2025,premier-league
ben brereton,southampton,0,2,1,11.1,3,2,2,1,1,2024-2025,premier-league
nathan broadhead,ipswich town,3,6,0,25.0,9,4,8,1,7,2024-2025,premier-league
armando broja,everton,1,1,1,,3,1,3,0,3,2024-2025,premier-league
david brooks,bournemouth,2,8,4,12.5,14,6,18,2,16,2024-2025,premier-league
emi buendia,aston villa,3,2,1,0.0,6,6,5,1,4,2024-2025,premier-league
santiago bueno,wolves,22,18,1,77.3,41,21,36,21,15,2024-2025,premier-league
facundo buonanotte,leicester city,17,22,14,31.3,53,32,34,6,28,2024-2025,premier-league
cameron burgess,ipswich town,14,3,0,81.8,17,12,20,15,5,2024-2025,premier-league
dan burn,newcastle utd,22,15,2,55.6,39,24,36,26,10,2024-2025,premier-league
