Player,Squad,Liga,Season,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Block_Pass,Clearences,Err
max aarons,valencia,La-Liga,2024-2025,2,2,0,0.8,4,4,0,1,0,1,3,0
rodrigo abajas,valencia,La-Liga,2024-2025,2,1,0,1.0,3,2,1,1,0,1,0,0
abel,osasuna,La-Liga,2024-2025,28,25,8,0.619,39,37,18,29,4,25,64,2
nabil aberdin,getafe,La-Liga,2024-2025,3,3,0,1.0,1,4,0,3,0,3,5,0
abdel abqar,alaves,La-Liga,2024-2025,24,11,1,0.588,20,23,39,28,18,10,146,1
akor adams,sevilla,La-Liga,2024-2025,0,0,0,,0,0,0,1,0,1,1,0
adrian,betis,La-Liga,2024-2025,0,0,0,0.0,0,0,0,0,0,0,14,3
julen agirrezabala,athletic club,La-Liga,2024-2025,0,0,0,0.0,0,0,0,0,0,0,4,0
lucien agoume,sevilla,La-Liga,2024-2025,23,37,10,0.6920000000000001,27,32,41,30,11,19,42,0
alvaro aguado,espanyol,La-Liga,2024-2025,3,2,0,0.3329999999999999,3,2,4,7,1,6,5,1
lorenzo aguado,real madrid,La-Liga,2024-2025,0,0,0,,0,0,0,0,0,0,2,0
nayef aguerd,real sociedad,La-Liga,2024-2025,17,12,1,0.667,12,24,13,21,15,6,91,0
joseph aidoo,valladolid,La-Liga,2024-2025,3,2,0,0.667,2,5,5,8,4,4,26,1
joseph aidoo,celta vigo,La-Liga,2024-2025,1,0,0,,0,0,0,0,0,0,0,0
ilias akhomach,villarreal,La-Liga,2024-2025,4,4,4,0.5,6,7,3,8,0,8,13,0
david alaba,real madrid,La-Liga,2024-2025,1,0,0,,0,0,6,5,5,0,7,0
ibrahim alani,valladolid,La-Liga,2024-2025,8,4,0,0.667,4,7,1,3,1,2,1,0
raul albiol,villarreal,La-Liga,2024-2025,9,1,0,0.6,6,9,6,10,9,1,69,1
omar alderete,getafe,La-Liga,2024-2025,30,11,2,0.667,20,29,40,38,22,16,241,1
carles alena,getafe,La-Liga,2024-2025,2,3,1,0.308,4,3,0,9,1,8,7,0
carles alena,alaves,La-Liga,2024-2025,6,7,6,0.412,7,12,2,11,0,11,4,0
alfon,celta vigo,La-Liga,2024-2025,3,2,3,0.3329999999999999,4,3,5,8,0,8,5,1
tadeo allende,celta vigo,La-Liga,2024-2025,0,0,0,,0,0,0,0,0,0,0,0
domingos andre ribeiro almeida,valencia,La-Liga,2024-2025,18,21,9,0.359,14,32,8,21,3,18,14,1
iker almena,girona,La-Liga,2024-2025,0,0,0,0.0,0,0,0,1,0,1,2,0
marcos alonso,celta vigo,La-Liga,2024-2025,19,13,3,0.568,25,21,34,22,7,15,126,4
adria altimira,leganes,La-Liga,2024-2025,26,12,3,0.6,24,24,15,15,6,9,54,2
sergi altimira,betis,La-Liga,2024-2025,17,38,6,0.6,36,37,24,28,1,27,43,3
hugo alvarez,celta vigo,La-Liga,2024-2025,12,10,4,0.526,10,9,8,19,2,17,29,1
julian alvarez,atletico madrid,La-Liga,2024-2025,5,11,9,0.267,8,17,2,14,0,14,12,1
yeray alvarez,athletic club,La-Liga,2024-2025,14,9,2,0.682,15,13,34,10,6,4,129,1
selim amallah,valladolid,La-Liga,2024-2025,10,18,2,0.556,10,18,14,24,2,22,5,1
amath,valladolid,La-Liga,2024-2025,2,0,0,0.125,1,0,2,7,1,6,6,0
