Player,Squad,Liga,Season,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG
max aarons,valencia,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
rodrigo abajas,valencia,La-Liga,2024-2025,1,0,0.0,0.1,0.1,0.07,-0.1
abel,osasuna,La-Liga,2024-2025,12,4,0.17,0.5,0.5,0.04,1.5
nabil aberdin,getafe,La-Liga,2024-2025,2,0,0.0,0.0,0.0,0.02,0.0
abdel abqar,alaves,La-Liga,2024-2025,12,1,0.0,0.9,0.9,0.08,-0.9
akor adams,sevilla,La-Liga,2024-2025,2,1,0.0,0.4,0.4,0.22,-0.4
adrian,betis,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
julen agirrezabala,athletic club,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
lucien agoume,sevilla,La-Liga,2024-2025,10,2,0.1,0.9,0.9,0.09,0.1
alvaro aguado,espanyol,La-Liga,2024-2025,10,1,0.0,0.6,0.6,0.06,-0.6
lorenzo aguado,real madrid,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
nayef aguerd,real sociedad,La-Liga,2024-2025,15,5,0.0,2.4,2.4,0.16,-2.4
joseph aidoo,valladolid,La-Liga,2024-2025,1,0,0.0,0.0,0.0,0.04,0.0
joseph aidoo,celta vigo,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
ilias akhomach,villarreal,La-Liga,2024-2025,17,6,0.06,0.6,0.6,0.03,0.4
david alaba,real madrid,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
ibrahim alani,valladolid,La-Liga,2024-2025,1,0,0.0,0.0,0.0,0.02,0.0
raul albiol,villarreal,La-Liga,2024-2025,2,0,0.0,0.1,0.1,0.05,-0.1
omar alderete,getafe,La-Liga,2024-2025,38,10,0.03,1.7,1.7,0.04,-0.7
carles alena,getafe,La-Liga,2024-2025,5,1,0.0,0.9,0.9,0.18,-0.9
carles alena,alaves,La-Liga,2024-2025,15,4,0.0,0.7,0.7,0.05,-0.7
alfon,celta vigo,La-Liga,2024-2025,46,19,0.11,4.6,4.6,0.1,0.4
tadeo allende,celta vigo,La-Liga,2024-2025,0,0,,0.0,0.0,,0.0
domingos andre ribeiro almeida,valencia,La-Liga,2024-2025,18,5,0.0,1.2,1.2,0.07,-1.2
