Player,Squad,Liga,Season,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle
nacho vidal,Osasuna,La-Liga,2024-2025,23,24,19,0,65,2,1.0,0,0.0,77,3,0,2,2
fran vieites,Betis,La-Liga,2024-2025,124,1,1,1,126,0,,0,,139,0,0,0,0
sergio viera,Las Palmas,La-Liga,2024-2025,8,43,9,1,59,2,0.5,1,0.5,30,0,0,2,0
asier villalibre,Alavés,La-Liga,2024-2025,8,57,52,22,115,12,0.16699999999999998,9,0.75,114,3,3,9,5
ivan villar,Celta Vigo,La-Liga,2024-2025,128,2,0,0,130,0,,0,,172,0,0,0,0
viti,Las Palmas,La-Liga,2024-2025,396,562,241,23,1186,20,0.45,7,0.35,1498,14,4,28,6
daniel vivian,Athletic Club,La-Liga,2024-2025,901,1119,79,26,2085,17,0.588,6,0.353,4326,17,1,19,13
krapyvtsov vladyslav,Girona,La-Liga,2024-2025,78,1,0,0,79,0,,0,,115,0,0,0,0
inaki williams,Athletic Club,La-Liga,2024-2025,113,392,679,138,1169,101,0.327,56,0.5539999999999999,2259,39,49,65,44
nico williams,Athletic Club,La-Liga,2024-2025,84,333,671,113,1064,187,0.364,104,0.556,2949,58,58,62,46
axel witsel,Atlético Madrid,La-Liga,2024-2025,325,306,16,4,645,2,0.5,1,0.5,1194,3,1,9,0
lamine yamal,Barcelona,La-Liga,2024-2025,104,667,1364,226,2094,316,0.509,128,0.405,5270,96,95,102,49
daniel yanez,Real Madrid,La-Liga,2024-2025,0,0,0,0,0,0,,0,,6,0,0,0,0
bertug yldrm,Getafe,La-Liga,2024-2025,32,145,150,46,323,16,0.43799999999999994,6,0.375,148,4,2,40,15
arsen zakharyan,Real Sociedad,La-Liga,2024-2025,8,21,15,2,44,1,1.0,0,0.0,19,1,0,1,0
bryan zaragoza,Osasuna,La-Liga,2024-2025,70,286,444,84,782,131,0.435,67,0.511,2697,62,51,41,15
igor zubeldia,Real Sociedad,La-Liga,2024-2025,768,923,46,14,1732,6,1.0,0,0.0,3741,8,1,8,1
martin zubimendi,Real Sociedad,La-Liga,2024-2025,489,1332,325,59,2131,28,0.679,9,0.321,2548,34,5,39,17
max aarons,Bournemouth,Premier-League,2024-2025,19,40,15,0,73,2,0.0,1,0.5,68,0,0,1,0
joshua acheampong,Chelsea,Premier-League,2024-2025,48,81,8,3,137,2,0.5,0,0.0,409,2,0,2,0
tyler adams,Bournemouth,Premier-League,2024-2025,349,779,224,18,1337,18,0.222,10,0.556,1447,22,1,28,12
tosin adarabioyo,Chelsea,Premier-League,2024-2025,630,674,27,14,1330,6,0.667,1,0.16699999999999998,1809,2,0,4,0
simon adingra,Brighton,Premier-League,2024-2025,66,174,315,76,548,50,0.42,27,0.54,1300,21,27,39,12
emmanuel agbadou,Wolves,Premier-League,2024-2025,649,504,28,7,1172,13,0.769,2,0.154,1752,4,0,6,4
asher agbinone,Crystal Palace,Premier-League,2024-2025,0,2,6,0,8,2,0.0,1,0.5,23,0,0,0,1
ola aina,Nott'ham Forest,Premier-League,2024-2025,613,717,409,22,1708,72,0.45799999999999996,27,0.375,2787,46,10,44,22
rayan aitnouri,Wolves,Premier-League,2024-2025,577,916,685,96,2148,137,0.46,56,0.409,3205,62,28,52,47
kristoffer ajer,Brentford,Premier-League,2024-2025,265,368,168,38,795,16,0.43799999999999994,8,0.5,1180,11,2,15,12
manuel akanji,Manchester City,Premier-League,2024-2025,559,920,405,19,1881,2,1.0,0,0.0,4234,64,0,5,5
nathan ake,Manchester City,Premier-League,2024-2025,205,331,61,5,596,1,1.0,0,0.0,1501,12,1,4,3
carlos alcaraz,Southampton,Premier-League,2024-2025,1,8,9,2,17,2,0.0,2,1.0,98,1,0,0,0
carlos alcaraz,Everton,Premier-League,2024-2025,63,168,156,19,378,18,0.5,7,0.389,707,21,2,14,13
trent alexanderarnold,Liverpool,Premier-League,2024-2025,593,1014,660,44,2253,37,0.45899999999999996,17,0.45899999999999996,2860,36,9,19,15
alisson,Liverpool,Premier-League,2024-2025,991,20,0,0,1011,1,1.0,0,0.0,1586,0,0,1,0
miguel almiron,Newcastle Utd,Premier-League,2024-2025,10,35,36,9,81,2,0.5,1,0.5,93,3,2,0,2
olabade aluko,Leicester City,Premier-League,2024-2025,0,6,1,0,6,1,0.0,1,1.0,0,0,0,0,1
edson alvarez,West Ham,Premier-League,2024-2025,361,693,194,12,1239,33,0.424,14,0.424,1714,22,2,27,15
will alves,Leicester City,Premier-League,2024-2025,0,0,1,0,1,0,,0,,5,0,0,0,0
harry amass,Manchester Utd,Premier-League,2024-2025,82,88,84,5,250,8,0.375,4,0.5,376,6,2,18,5
samuel amoameyaw,Southampton,Premier-League,2024-2025,5,5,7,1,16,4,0.0,3,0.75,68,0,1,0,2
mathis amougou,Chelsea,Premier-League,2024-2025,2,4,3,0,9,0,,0,,5,1,0,0,1
joachim andersen,Crystal Palace,Premier-League,2024-2025,38,50,5,0,93,0,,0,,103,1,0,0,1
joachim andersen,Fulham,Premier-League,2024-2025,1233,1013,102,22,2336,6,0.667,0,0.0,3435,14,1,6,3
elliot anderson,Nott'ham Forest,Premier-League,2024-2025,424,891,547,72,1832,75,0.48,30,0.4,2366,32,21,60,49
andre,Wolves,Premier-League,2024-2025,439,1046,155,3,1623,32,0.5,12,0.375,1688,17,0,30,21
michail antonio,West Ham,Premier-League,2024-2025,26,124,151,36,296,27,0.33299999999999996,13,0.48100000000000004,695,13,9,35,19
antony,Manchester Utd,Premier-League,2024-2025,22,26,54,8,101,11,0.364,6,0.545,182,6,1,5,1
julian araujo,Bournemouth,Premier-League,2024-2025,90,136,55,2,275,1,0.0,1,1.0,258,3,0,5,2
cameron archer,Southampton,Premier-League,2024-2025,69,179,154,52,397,37,0.405,20,0.541,564,10,14,40,26
alphonse areola,West Ham,Premier-League,2024-2025,1038,12,0,0,1049,0,,0,,1348,0,0,0,0
joe aribo,Southampton,Premier-League,2024-2025,313,670,299,44,1271,49,0.429,22,0.449,2021,29,12,27,19
adam armstrong,Southampton,Premier-League,2024-2025,44,143,192,49,376,14,0.429,8,0.5710000000000001,599,13,6,11,18
harrison armstrong,Everton,Premier-League,2024-2025,3,12,7,2,20,1,1.0,0,0.0,43,2,0,2,3
kepa arrizabalaga,Bournemouth,Premier-League,2024-2025,1057,29,1,1,1087,1,1.0,0,0.0,1797,0,0,0,0
marco asensio,Aston Villa,Premier-League,2024-2025,38,158,200,30,384,19,0.632,5,0.263,682,21,5,9,8
brandon austin,Tottenham,Premier-League,2024-2025,36,0,0,0,36,0,,0,,46,0,0,0,0
taiwo awoniyi,Nott'ham Forest,Premier-League,2024-2025,16,78,74,21,167,9,0.444,5,0.556,183,5,2,19,19
yasin ayari,Brighton,Premier-League,2024-2025,275,624,354,45,1233,45,0.4,18,0.4,1466,25,6,38,22
jordan ayew,Crystal Palace,Premier-League,2024-2025,0,7,5,1,12,0,,0,,12,0,0,0,1
jordan ayew,Leicester City,Premier-League,2024-2025,103,407,312,55,797,64,0.406,32,0.5,1540,37,11,63,40
benoit badiashile,Chelsea,Premier-League,2024-2025,138,186,13,0,336,1,0.0,1,1.0,340,5,0,1,0
leon bailey,Aston Villa,Premier-League,2024-2025,77,155,323,70,545,57,0.386,24,0.42100000000000004,1371,23,34,35,25
carlos baleba,Brighton,Premier-League,2024-2025,410,994,339,12,1697,57,0.579,20,0.35100000000000003,2810,45,3,39,42
ross barkley,Aston Villa,Premier-League,2024-2025,75,275,121,19,464,16,0.75,4,0.25,733,15,2,7,8
harvey barnes,Newcastle Utd,Premier-League,2024-2025,97,257,462,128,810,64,0.375,33,0.516,2467,48,47,33,23
calvin bassey,Fulham,Premier-League,2024-2025,1205,1151,132,19,2463,33,0.455,11,0.33299999999999996,4940,20,5,34,8
altay bayndr,Manchester Utd,Premier-League,2024-2025,166,2,0,0,168,0,,0,,196,0,0,0,0
jan bednarek,Southampton,Premier-League,2024-2025,1091,924,41,15,2049,3,1.0,0,0.0,1742,5,1,9,3
armel bella kotchap,Southampton,Premier-League,2024-2025,147,115,3,1,263,1,0.0,1,1.0,326,0,0,1,0
jeanricner bellegarde,Wolves,Premier-League,2024-2025,148,394,318,48,843,61,0.23,31,0.508,1573,38,11,42,29
rodrigo bentancur,Tottenham,Premier-League,2024-2025,323,774,216,24,1302,19,0.474,8,0.42100000000000004,1502,24,5,19,20
daniel bentley,Wolves,Premier-League,2024-2025,68,1,0,0,69,0,,0,,134,0,0,0,0
sander berge,Fulham,Premier-League,2024-2025,374,799,217,14,1384,20,0.55,6,0.3,2065,25,2,15,16
lucas bergvall,Tottenham,Premier-League,2024-2025,188,478,232,22,885,45,0.467,20,0.444,1634,21,4,20,19
victor bernth kristiansen,Leicester City,Premier-League,2024-2025,577,722,329,17,1614,18,0.444,9,0.5,1866,26,5,15,13
beto,Everton,Premier-League,2024-2025,51,233,242,86,520,38,0.5,17,0.447,478,12,9,71,37
philip billing,Bournemouth,Premier-League,2024-2025,20,72,57,12,148,3,0.33299999999999996,0,0.0,163,1,1,7,4
yves bissouma,Tottenham,Premier-League,2024-2025,304,584,159,5,1039,22,0.318,15,0.682,1611,17,0,25,15
oscar bobb,Manchester City,Premier-League,2024-2025,2,6,7,0,15,2,1.0,0,0.0,32,0,0,0,0
lamare bogarde,Aston Villa,Premier-League,2024-2025,95,191,40,4,325,4,0.5,1,0.25,599,6,1,6,8
willy boly,Nott'ham Forest,Premier-League,2024-2025,63,32,2,1,97,0,,0,,45,0,0,1,0
sven botman,Newcastle Utd,Premier-League,2024-2025,132,160,16,11,304,3,0.33299999999999996,1,0.33299999999999996,337,1,0,5,1
jarrod bowen,West Ham,Premier-League,2024-2025,132,466,678,171,1251,130,0.33799999999999997,76,0.585,2501,46,61,70,77
conor bradley,Liverpool,Premier-League,2024-2025,197,299,178,43,663,25,0.4,12,0.48,1356,22,9,13,5
jarrad branthwaite,Everton,Premier-League,2024-2025,783,676,69,28,1520,6,0.5,2,0.33299999999999996,2515,14,2,8,4
james bree,Southampton,Premier-League,2024-2025,221,308,170,11,694,8,0.5,2,0.25,808,12,1,9,5
ben brereton,Southampton,Premier-League,2024-2025,19,76,112,20,206,4,0.25,2,0.5,394,13,4,9,4
nathan broadhead,Ipswich Town,Premier-League,2024-2025,41,161,126,21,317,34,0.5,15,0.441,584,16,5,19,15
armando broja,Everton,Premier-League,2024-2025,14,47,72,18,127,16,0.5,7,0.43799999999999994,281,8,3,16,13
david brooks,Bournemouth,Premier-League,2024-2025,59,207,289,39,545,34,0.324,20,0.588,1115,25,10,30,14
emi buendia,Aston Villa,Premier-League,2024-2025,17,35,31,3,82,2,0.0,2,1.0,119,5,0,4,3
santiago bueno,Wolves,Premier-League,2024-2025,522,485,21,6,1025,4,0.0,4,1.0,1430,2,0,2,2
facundo buonanotte,Leicester City,Premier-League,2024-2025,128,452,307,39,874,83,0.337,49,0.59,1347,26,9,58,39
cameron burgess,Ipswich Town,Premier-League,2024-2025,609,327,48,24,982,0,,0,,1002,4,0,3,0
dan burn,Newcastle Utd,Premier-League,2024-2025,1305,959,130,52,2386,4,0.75,1,0.25,2798,8,1,24,3
wes burns,Ipswich Town,Premier-League,2024-2025,69,129,160,18,350,24,0.375,14,0.583,696,13,10,17,13
nathan butleroyedeji,Arsenal,Premier-League,2024-2025,0,0,1,1,1,0,,0,,0,0,0,0,0
moises caicedo,Chelsea,Premier-League,2024-2025,562,1570,476,15,2579,64,0.45299999999999996,22,0.344,3384,38,2,37,25
tom cairney,Fulham,Premier-League,2024-2025,123,347,223,18,683,13,0.385,4,0.308,1047,17,4,6,4
jens cajuste,Ipswich Town,Premier-League,2024-2025,286,530,217,15,1017,53,0.528,19,0.358,1329,23,3,23,17
riccardo calafiori,Arsenal,Premier-League,2024-2025,164,264,229,30,653,13,0.6920000000000001,3,0.231,889,15,3,12,5
dominic calvertlewin,Everton,Premier-League,2024-2025,45,215,265,88,520,25,0.4,13,0.52,463,8,17,77,33
diego carlos,Aston Villa,Premier-League,2024-2025,331,330,15,6,674,2,1.0,0,0.0,1162,3,0,1,2
fabio carvalho,Brentford,Premier-League,2024-2025,44,91,113,22,247,14,0.14300000000000002,10,0.7140000000000001,356,3,0,13,8
casemiro,Manchester Utd,Premier-League,2024-2025,374,633,251,43,1250,6,0.5,3,0.5,934,10,0,12,10
kaelan casey,West Ham,Premier-League,2024-2025,1,0,0,0,1,0,,0,,0,0,0,0,0
matty cash,Aston Villa,Premier-League,2024-2025,432,463,304,42,1186,40,0.475,16,0.4,1864,38,4,20,10
eiran cashin,Brighton,Premier-League,2024-2025,10,20,2,0,32,1,0.0,1,1.0,99,0,0,0,0
timothy castagne,Fulham,Premier-League,2024-2025,449,462,259,32,1164,12,0.41700000000000004,5,0.41700000000000004,1044,15,2,15,5
trevoh chalobah,Crystal Palace,Premier-League,2024-2025,275,276,51,14,594,10,0.6,2,0.2,661,9,1,4,7
trevoh chalobah,Chelsea,Premier-League,2024-2025,331,389,59,12,774,5,0.4,1,0.2,772,5,1,3,2
conor chaplin,Ipswich Town,Premier-League,2024-2025,74,183,138,18,390,8,0.5,4,0.5,467,9,0,12,5
youssef chermiti,Everton,Premier-League,2024-2025,0,6,9,3,15,1,1.0,0,0.0,2,0,0,0,1
federico chiesa,Liverpool,Premier-League,2024-2025,10,15,21,4,46,2,0.0,2,1.0,58,1,1,3,4
ben chilwell,Crystal Palace,Premier-League,2024-2025,63,76,42,3,175,6,0.33299999999999996,3,0.5,243,2,1,4,2
chiquinho,Wolves,Premier-League,2024-2025,0,1,2,1,3,0,,0,,5,0,0,0,0
hamza choudhury,Leicester City,Premier-League,2024-2025,19,61,20,3,100,4,0.75,1,0.25,130,2,2,1,0
ryan christie,Bournemouth,Premier-League,2024-2025,256,773,372,46,1376,48,0.479,22,0.45799999999999996,1773,40,8,44,25
harry clarke,Ipswich Town,Premier-League,2024-2025,100,122,47,2,268,2,0.5,1,0.5,222,7,0,4,2
jack clarke,Ipswich Town,Premier-League,2024-2025,125,229,215,38,553,50,0.5,18,0.36,1217,21,12,25,22
nathaniel clyne,Crystal Palace,Premier-League,2024-2025,111,125,37,3,273,1,0.0,1,1.0,314,2,3,5,2
conor coady,Leicester City,Premier-League,2024-2025,689,503,20,8,1210,2,0.5,1,0.5,1820,3,1,4,3
seamus coleman,Everton,Premier-League,2024-2025,42,54,26,3,121,5,0.8,1,0.2,177,2,0,1,1
nathan collins,Brentford,Premier-League,2024-2025,1275,1002,169,69,2435,12,0.5,5,0.41700000000000004,4130,12,1,20,8
toby collyer,Manchester Utd,Premier-League,2024-2025,46,59,25,3,129,2,0.5,1,0.5,56,0,0,11,1
levi colwill,Chelsea,Premier-League,2024-2025,1363,1417,140,36,2904,12,0.5,5,0.41700000000000004,4028,12,1,14,8
lewis cook,Bournemouth,Premier-League,2024-2025,440,1010,470,20,1900,20,0.65,7,0.35,2159,29,4,31,18
maxwel cornet,Southampton,Premier-League,2024-2025,8,14,13,2,34,1,0.0,1,1.0,26,0,1,3,0
vladimir coufal,West Ham,Premier-League,2024-2025,262,318,159,14,736,15,0.33299999999999996,7,0.467,888,10,2,12,8
woyo coulibaly,Leicester City,Premier-League,2024-2025,27,31,20,4,76,1,0.0,1,1.0,169,2,1,4,0
aaron cresswell,West Ham,Premier-League,2024-2025,270,328,94,2,687,2,0.5,1,0.5,526,8,0,4,0
marc cucurella,Chelsea,Premier-League,2024-2025,677,1045,532,75,2244,15,0.267,9,0.6,2336,22,2,28,7
jorge cuenca,Fulham,Premier-League,2024-2025,134,74,7,1,214,2,1.0,0,0.0,140,1,0,2,0
matheus cunha,Wolves,Premier-League,2024-2025,181,695,733,133,1560,137,0.445,61,0.445,3336,95,41,80,55
patson daka,Leicester City,Premier-League,2024-2025,46,114,97,29,252,15,0.133,10,0.667,321,7,6,20,12
diogo dalot,Manchester Utd,Premier-League,2024-2025,661,773,566,68,1983,53,0.509,22,0.415,2699,37,16,38,21
mikkel damsgaard,Brentford,Premier-League,2024-2025,331,863,713,76,1883,97,0.515,36,0.371,3075,54,9,63,47
danilo,Nott'ham Forest,Premier-League,2024-2025,54,85,13,0,150,6,0.5,3,0.5,61,0,0,6,0
jayden danns,Liverpool,Premier-League,2024-2025,0,0,2,0,2,0,,0,,1,0,0,0,1
kevin danso,Tottenham,Premier-League,2024-2025,394,257,29,8,676,3,0.667,1,0.33299999999999996,1195,5,1,8,3
ben davies,Tottenham,Premier-League,2024-2025,643,495,48,13,1186,1,1.0,0,0.0,1824,10,0,5,0
leif davis,Ipswich Town,Premier-League,2024-2025,534,520,527,42,1562,38,0.342,18,0.474,2073,31,11,37,16
craig dawson,Wolves,Premier-League,2024-2025,396,249,28,14,671,5,0.2,2,0.4,938,1,0,2,0
kevin de bruyne,Manchester City,Premier-League,2024-2025,75,455,850,79,1368,34,0.382,17,0.5,2076,51,20,26,28
bobby de cordovareid,Leicester City,Premier-League,2024-2025,49,114,109,16,272,10,0.0,8,0.8,389,5,6,11,10
liam delap,Ipswich Town,Premier-League,2024-2025,78,291,335,92,680,86,0.465,37,0.43,1586,46,30,104,60
sepp van den berg,Brentford,Premier-League,2024-2025,819,621,169,48,1605,7,0.5710000000000001,3,0.429,1974,10,1,15,7
justin devenny,Crystal Palace,Premier-League,2024-2025,53,149,83,8,279,4,0.5,2,0.5,333,5,1,17,3
kiernan dewsburyhall,Chelsea,Premier-League,2024-2025,30,96,58,6,184,4,0.5,2,0.5,221,1,0,1,3
amad diallo,Manchester Utd,Premier-League,2024-2025,175,443,607,131,1207,88,0.466,43,0.489,2750,53,66,42,35
ruben dias,Manchester City,Premier-League,2024-2025,837,1361,307,26,2499,3,0.667,1,0.33299999999999996,6017,65,1,8,1
luis diaz,Liverpool,Premier-League,2024-2025,90,409,706,167,1184,116,0.457,51,0.44,2960,55,56,55,49
tyler dibling,Southampton,Premier-League,2024-2025,129,390,369,41,868,110,0.409,43,0.391,2215,50,26,44,55
lucas digne,Aston Villa,Premier-League,2024-2025,541,457,539,28,1527,19,0.474,9,0.474,1346,14,4,17,16
issa diop,Fulham,Premier-League,2024-2025,498,381,26,13,903,2,0.5,1,0.5,1216,2,0,9,2
axel disasi,Aston Villa,Premier-League,2024-2025,130,178,29,6,334,15,0.6,6,0.4,621,8,2,3,2
axel disasi,Chelsea,Premier-League,2024-2025,110,175,40,2,323,1,1.0,0,0.0,519,3,0,1,3
roman dixon,Everton,Premier-League,2024-2025,19,14,4,0,36,3,0.0,3,1.0,48,0,0,2,0
nasser djiga,Wolves,Premier-League,2024-2025,17,39,2,0,58,0,,0,,37,1,0,1,2
matt doherty,Wolves,Premier-League,2024-2025,614,748,190,26,1534,21,0.524,7,0.33299999999999996,2176,20,4,11,5
jeremy doku,Manchester City,Premier-League,2024-2025,46,233,772,161,1027,201,0.532,60,0.299,4865,95,109,59,59
nicolas dominguez,Nott'ham Forest,Premier-League,2024-2025,303,630,295,33,1218,9,0.33299999999999996,4,0.444,924,14,2,23,12
patrick dorgu,Manchester Utd,Premier-League,2024-2025,155,206,244,32,602,13,0.231,6,0.462,1209,17,7,12,10
alfie dorrington,Tottenham,Premier-League,2024-2025,11,5,0,0,16,0,,0,,26,0,0,0,0
abdoulaye doucoure,Everton,Premier-League,2024-2025,225,538,413,65,1161,45,0.5329999999999999,21,0.467,1396,26,8,38,38
cheick doucoure,Crystal Palace,Premier-League,2024-2025,56,165,45,4,263,5,0.4,2,0.4,280,7,1,4,7
flynn downes,Southampton,Premier-League,2024-2025,403,719,227,21,1339,20,0.4,8,0.4,1826,21,4,15,17
tommy doyle,Wolves,Premier-League,2024-2025,128,258,80,4,463,9,0.556,1,0.111,578,3,0,9,4
radu dragusin,Tottenham,Premier-League,2024-2025,510,430,30,12,961,2,0.0,0,0.0,1666,3,0,8,2
martin dubravka,Newcastle Utd,Premier-League,2024-2025,337,14,0,0,350,0,,0,,643,0,0,0,0
lewis dunk,Brighton,Premier-League,2024-2025,993,1031,113,21,2127,1,0.0,1,1.0,3345,19,0,9,3
jader duran,Aston Villa,Premier-League,2024-2025,36,110,122,47,263,14,0.214,9,0.643,267,7,2,16,15
claudio echeverri,Manchester City,Premier-League,2024-2025,0,2,1,0,3,0,,0,,12,0,0,0,1
ederson,Manchester City,Premier-League,2024-2025,962,13,0,0,975,0,,0,,1981,0,0,1,0
george edmundson,Ipswich Town,Premier-League,2024-2025,3,0,0,0,3,0,,0,,0,0,0,0,0
odsonne edouard,Crystal Palace,Premier-League,2024-2025,4,23,18,8,45,1,0.0,1,1.0,56,1,2,4,1
odsonne edouard,Leicester City,Premier-League,2024-2025,2,7,11,6,20,2,0.5,1,0.5,2,0,1,7,2
samuel edozie,Southampton,Premier-League,2024-2025,0,7,36,10,43,4,0.5,2,0.5,197,2,4,4,0
ronnie edwards,Southampton,Premier-League,2024-2025,4,2,0,0,6,0,,0,,0,0,0,0,0
anthony elanga,Nott'ham Forest,Premier-League,2024-2025,136,319,679,110,1115,83,0.301,39,0.47,2544,45,48,79,43
harvey elliott,Liverpool,Premier-League,2024-2025,32,164,144,21,339,9,0.444,4,0.444,408,11,5,5,4
yunus emre konak,Brentford,Premier-League,2024-2025,9,27,17,0,53,2,0.0,2,1.0,41,1,1,3,3
julio enciso,Ipswich Town,Premier-League,2024-2025,52,202,167,23,406,66,0.455,28,0.424,793,25,9,24,30
julio enciso,Brighton,Premier-League,2024-2025,17,72,116,20,202,21,0.47600000000000003,8,0.381,386,10,4,7,9
wataru endo,Liverpool,Premier-League,2024-2025,65,124,49,3,237,2,1.0,0,0.0,169,3,1,6,3
christian eriksen,Manchester Utd,Premier-League,2024-2025,173,397,284,17,849,4,0.0,4,1.0,851,14,1,13,5
romain esse,Crystal Palace,Premier-League,2024-2025,14,30,29,9,73,6,0.33299999999999996,4,0.667,49,1,2,6,2
pervis estupinan,Brighton,Premier-League,2024-2025,493,936,506,35,1915,34,0.5589999999999999,13,0.382,2689,61,9,34,27
evanilson,Bournemouth,Premier-League,2024-2025,56,208,299,127,557,21,0.33299999999999996,8,0.381,861,18,15,38,24
jake evans,Leicester City,Premier-League,2024-2025,1,3,1,0,5,0,,0,,0,0,0,0,1
jonny evans,Manchester Utd,Premier-League,2024-2025,139,100,15,3,250,1,1.0,0,0.0,242,2,0,1,0
eberechi eze,Crystal Palace,Premier-League,2024-2025,193,661,597,95,1412,138,0.486,62,0.449,2380,48,22,55,45
ukasz fabianski,West Ham,Premier-League,2024-2025,525,5,0,0,530,3,1.0,0,0.0,890,0,0,0,0
wout faes,Leicester City,Premier-League,2024-2025,962,885,68,27,1906,6,0.833,1,0.16699999999999998,2928,13,2,17,6
abdul fatawu issahaku,Leicester City,Premier-League,2024-2025,73,114,157,26,326,69,0.42,28,0.406,1055,24,15,18,12
joao felix,Chelsea,Premier-League,2024-2025,26,128,125,30,272,31,0.32299999999999995,14,0.452,712,13,5,6,4
evan ferguson,West Ham,Premier-League,2024-2025,6,30,31,10,66,5,0.6,2,0.4,41,1,1,8,5
evan ferguson,Brighton,Premier-League,2024-2025,13,50,26,9,88,2,0.5,1,0.5,56,1,2,5,6
bruno fernandes,Manchester Utd,Premier-League,2024-2025,428,1263,983,80,2646,67,0.418,33,0.493,3866,65,14,43,43
mateus fernandes,Southampton,Premier-League,2024-2025,385,867,547,49,1760,109,0.45,49,0.45,3143,70,9,58,36
enzo fernandez,Chelsea,Premier-League,2024-2025,346,1129,751,81,2210,55,0.473,21,0.382,2735,55,9,29,28
mark flekken,Brentford,Premier-League,2024-2025,1777,52,0,0,1824,1,1.0,0,0.0,3253,0,0,3,0
phil foden,Manchester City,Premier-League,2024-2025,85,382,681,83,1139,43,0.326,23,0.535,1782,30,17,36,31
wesley fofana,Chelsea,Premier-League,2024-2025,370,523,55,10,933,15,0.5329999999999999,3,0.2,1614,12,1,16,5
carlos forbs,Wolves,Premier-League,2024-2025,23,39,60,13,121,12,0.583,5,0.41700000000000004,321,3,8,7,4
fraser forster,Tottenham,Premier-League,2024-2025,228,0,0,0,228,1,1.0,0,0.0,264,0,0,1,0
matheus franca,Crystal Palace,Premier-League,2024-2025,5,11,17,7,33,0,,0,,85,1,3,2,0
ryan fraser,Southampton,Premier-League,2024-2025,45,50,37,3,131,3,0.667,1,0.33299999999999996,252,5,2,4,2
tyler fredricson,Manchester Utd,Premier-League,2024-2025,64,68,9,1,141,1,1.0,0,0.0,114,1,0,2,0
niclas fullkrug,West Ham,Premier-League,2024-2025,27,142,110,40,277,8,0.125,6,0.75,215,4,2,18,7
cody gakpo,Liverpool,Premier-League,2024-2025,91,258,557,110,888,61,0.508,21,0.344,2208,34,28,45,24
idrissa gana gueye,Everton,Premier-League,2024-2025,432,1045,336,21,1801,39,0.462,19,0.48700000000000004,1752,27,4,32,38
andres garcia,Aston Villa,Premier-League,2024-2025,38,108,112,2,256,18,0.278,12,0.667,673,13,2,10,6
alejandro garnacho,Manchester Utd,Premier-League,2024-2025,130,364,683,176,1159,89,0.292,55,0.618,3245,72,67,64,48
james garner,Everton,Premier-League,2024-2025,226,511,248,15,977,19,0.368,12,0.632,842,19,2,16,9
tyrique george,Chelsea,Premier-League,2024-2025,11,21,39,9,70,5,0.6,2,0.4,209,1,5,3,0
morgan gibbswhite,Nott'ham Forest,Premier-League,2024-2025,185,830,636,92,1626,77,0.40299999999999997,35,0.455,2566,52,13,70,44
billy gilmour,Brighton,Premier-League,2024-2025,14,46,13,0,73,2,0.5,1,0.5,117,0,0,0,0
ben godfrey,Ipswich Town,Premier-League,2024-2025,26,33,9,1,68,0,,0,,79,2,0,2,1
martial godo,Fulham,Premier-League,2024-2025,1,7,17,7,25,4,0.25,3,0.75,87,0,2,0,0
michael golding,Leicester City,Premier-League,2024-2025,0,0,0,0,0,0,,0,,0,0,0,0,0
joao gomes,Wolves,Premier-League,2024-2025,431,1105,491,45,1998,65,0.462,28,0.431,2843,51,6,43,51
rodrigo gomes,Wolves,Premier-League,2024-2025,101,141,182,29,417,15,0.33299999999999996,7,0.467,805,18,7,21,9
toti gomes,Wolves,Premier-League,2024-2025,942,1000,108,17,2027,32,0.625,10,0.313,3203,20,0,20,15
diego gomez,Brighton,Premier-League,2024-2025,87,212,109,10,403,12,0.5,6,0.5,365,4,0,10,9
joe gomez,Liverpool,Premier-League,2024-2025,183,264,37,5,481,0,,0,,947,2,1,1,2
nicolas gonzalez,Manchester City,Premier-League,2024-2025,116,439,161,10,713,6,0.16699999999999998,3,0.5,729,12,3,8,11
anthony gordon,Newcastle Utd,Premier-League,2024-2025,125,475,687,128,1265,103,0.369,47,0.456,3295,62,56,36,38
ryan gravenberch,Liverpool,Premier-League,2024-2025,509,1354,512,26,2343,81,0.457,30,0.37,3742,75,10,55,26
archie gray,Tottenham,Premier-League,2024-2025,609,582,106,3,1286,13,0.5379999999999999,5,0.385,1678,5,0,12,11
jack grealish,Manchester City,Premier-League,2024-2025,42,162,324,71,521,29,0.44799999999999995,9,0.31,1714,23,46,10,16
jacob greaves,Ipswich Town,Premier-League,2024-2025,746,568,95,22,1404,6,0.667,1,0.16699999999999998,1268,11,0,10,2
brajan gruda,Brighton,Premier-League,2024-2025,38,120,192,46,344,30,0.433,12,0.4,662,19,13,14,21
albert grnbaek,Southampton,Premier-League,2024-2025,9,14,15,2,38,4,0.0,4,1.0,15,0,1,5,4
goncalo guedes,Wolves,Premier-League,2024-2025,49,199,250,40,484,28,0.321,15,0.536,1056,27,8,38,18
marc guehi,Crystal Palace,Premier-League,2024-2025,1051,943,148,39,2131,15,0.8,2,0.133,2935,17,1,16,18
