Player,Squad,Liga,Season,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR
max aarons,Valencia,La-Liga,2024-2025,2000.0,4,1,120,0,0,2,0,0,6,10
rodrigo abajas,Valencia,La-Liga,2024-2025,2003.0,1,1,65,0,0,1,0,3,2,3
abel,Osasuna,La-Liga,2024-2025,2000.0,35,20,2074,2,0,3,0,50,77,92
nabil aberdin,Getafe,La-Liga,2024-2025,2002.0,7,4,263,0,0,1,0,2,6,2
abdel abqar,Alavés,La-Liga,2024-2025,1999.0,29,29,2463,0,1,13,0,16,79,4
akor adams,Sevilla,La-Liga,2024-2025,2000.0,4,1,134,0,0,0,0,0,5,5
adrian,Betis,La-Liga,2024-2025,1987.0,19,19,1710,0,0,3,0,0,0,0
julen agirrezabala,Athletic Club,La-Liga,2024-2025,2000.0,14,14,1206,0,0,1,1,0,0,0
lucien agoume,Sevilla,La-Liga,2024-2025,2002.0,35,24,2114,1,3,5,1,29,135,23
alvaro aguado,Espanyol,La-Liga,2024-2025,1996.0,16,4,443,0,1,3,0,15,37,4
lorenzo aguado,Real Madrid,La-Liga,2024-2025,2002.0,2,0,5,0,0,0,0,0,0,0
nayef aguerd,Real Sociedad,La-Liga,2024-2025,1996.0,21,21,1760,0,0,5,0,26,75,1
joseph aidoo,Valladolid,La-Liga,2024-2025,1995.0,8,6,583,0,0,0,0,1,14,0
joseph aidoo,Celta Vigo,La-Liga,2024-2025,1995.0,1,0,2,0,0,0,0,0,1,0
ilias akhomach,Villarreal,La-Liga,2024-2025,2004.0,11,7,584,1,0,1,0,30,12,64
david alaba,Real Madrid,La-Liga,2024-2025,1992.0,7,4,317,0,0,1,0,2,7,4
ibrahim alani,Valladolid,La-Liga,2024-2025,2006.0,3,1,160,0,0,0,0,2,5,1
raul albiol,Villarreal,La-Liga,2024-2025,1985.0,15,14,1188,0,0,5,0,3,34,0
omar alderete,Getafe,La-Liga,2024-2025,1996.0,34,34,2971,1,0,8,0,25,112,7
carles alena,Getafe,La-Liga,2024-2025,1998.0,10,5,452,0,0,1,0,3,12,10
carles alena,Alavés,La-Liga,2024-2025,1998.0,14,13,1090,0,2,1,0,18,58,43
alfon,Celta Vigo,La-Liga,2024-2025,1999.0,26,14,1371,5,2,1,1,89,22,170
tadeo allende,Celta Vigo,La-Liga,2024-2025,1999.0,1,0,2,0,0,1,0,0,0,0
domingos andre ribeiro almeida,Valencia,La-Liga,2024-2025,2000.0,34,24,1977,0,4,2,0,45,142,77
iker almena,Girona,La-Liga,2024-2025,2004.0,2,0,48,0,1,0,0,6,2,10
marcos alonso,Celta Vigo,La-Liga,2024-2025,1990.0,31,29,2647,3,0,10,2,64,215,49
adria altimira,Leganés,La-Liga,2024-2025,2001.0,22,19,1630,0,0,6,0,23,42,69
sergi altimira,Betis,La-Liga,2024-2025,2001.0,32,22,1972,0,1,4,0,25,99,30
hugo alvarez,Celta Vigo,La-Liga,2024-2025,2003.0,26,16,1572,4,3,6,0,74,60,171
julian alvarez,Atlético Madrid,La-Liga,2024-2025,2000.0,37,30,2509,17,4,5,0,79,92,162
yeray alvarez,Athletic Club,La-Liga,2024-2025,1995.0,21,20,1781,1,0,4,0,19,105,0
selim amallah,Valladolid,La-Liga,2024-2025,1996.0,24,18,1376,3,1,6,0,24,57,27
