Player,Squad,Liga,Season,PSxG,PSxG/SoT,PSxG+/-,Launch%,Crosses_Opp,Crosses_stp%,#OPA
arnau rafus,Valladolid,La-Liga,2024-2025,0.5,0.23,-1.5,0.342,14,0.071,1
alex remiro,Real Sociedad,La-Liga,2024-2025,38.0,0.26,-5.0,0.314,446,0.065,40
adrian rodriguez,Alavés,La-Liga,2024-2025,1.5,0.13,-0.5,0.9229999999999999,33,0.0,0
leo roman,Mallorca,La-Liga,2024-2025,13.5,0.26,3.5,0.532,127,0.063,6
rui silva,Betis,La-Liga,2024-2025,18.4,0.3,1.4,0.26,194,0.052000000000000005,31
unai simon,Athletic Club,La-Liga,2024-2025,16.3,0.24,2.3,0.36200000000000004,249,0.076,28
antonio sivera,Alavés,La-Liga,2024-2025,39.0,0.28,2.0,0.718,453,0.066,29
david soria,Getafe,La-Liga,2024-2025,42.0,0.29,3.0,0.726,479,0.052000000000000005,39
juan soriano,Leganés,La-Liga,2024-2025,8.8,0.36,2.8,0.565,130,0.054000000000000006,0
wojciech szczesny,Barcelona,La-Liga,2024-2025,12.0,0.35,0.0,0.12300000000000001,130,0.054000000000000006,56
marcandre ter stegen,Barcelona,La-Liga,2024-2025,6.4,0.26,-2.6,0.121,83,0.06,13
fran vieites,Betis,La-Liga,2024-2025,4.7,0.42,-0.3,0.4,65,0.092,4
ivan villar,Celta Vigo,La-Liga,2024-2025,8.2,0.4,1.2,0.146,65,0.015,5
krapyvtsov vladyslav,Girona,La-Liga,2024-2025,6.3,0.31,-0.7,0.317,27,0.037000000000000005,1
alisson,Liverpool,Premier-League,2024-2025,30.5,0.3,3.5,0.19699999999999998,255,0.043,49
alphonse areola,West Ham,Premier-League,2024-2025,35.4,0.31,-2.6,0.344,394,0.038,30
kepa arrizabalaga,Bournemouth,Premier-League,2024-2025,41.0,0.28,2.0,0.332,367,0.06,54
brandon austin,Tottenham,Premier-League,2024-2025,2.2,0.55,0.2,0.385,15,0.33299999999999996,2
altay bayndr,Manchester Utd,Premier-League,2024-2025,10.1,0.59,1.1,0.344,56,0.071,7
daniel bentley,Wolves,Premier-League,2024-2025,3.9,0.33,-0.1,0.25,25,0.0,3
martin dubravka,Newcastle Utd,Premier-League,2024-2025,12.9,0.32,0.9,0.158,127,0.079,11
ederson,Manchester City,Premier-League,2024-2025,30.0,0.37,5.0,0.174,224,0.057999999999999996,49
ukasz fabianski,West Ham,Premier-League,2024-2025,22.6,0.29,1.6,0.419,220,0.045,12
mark flekken,Brentford,Premier-League,2024-2025,52.7,0.26,-0.3,0.337,581,0.079,34
fraser forster,Tottenham,Premier-League,2024-2025,16.5,0.36,1.5,0.213,81,0.049,3
dean henderson,Crystal Palace,Premier-League,2024-2025,51.2,0.35,3.2,0.475,559,0.054000000000000006,40
mads hermansen,Leicester City,Premier-League,2024-2025,56.4,0.35,1.4,0.392,419,0.062,26
vitezslav jaros,Liverpool,Premier-League,2024-2025,0.0,0.03,0.0,0.857,2,0.0,0
sam johnstone,Wolves,Premier-League,2024-2025,13.0,0.29,-3.0,0.456,104,0.077,11
filip jrgensen,Chelsea,Premier-League,2024-2025,9.3,0.3,0.3,0.18100000000000002,53,0.038,2
caoimhin kelleher,Liverpool,Premier-League,2024-2025,11.6,0.3,-0.4,0.28600000000000003,113,0.053,9
tom king,Wolves,Premier-League,2024-2025,0.0,,0.0,0.0,1,0.0,0
antonin kinsky,Tottenham,Premier-League,2024-2025,10.5,0.33,1.5,0.26899999999999996,112,0.08900000000000001,9
bernd leno,Fulham,Premier-League,2024-2025,48.9,0.29,-3.1,0.22699999999999998,507,0.045,33
joe lumley,Southampton,Premier-League,2024-2025,7.7,0.39,0.7,0.341,56,0.036000000000000004,7
emiliano martinez,Aston Villa,Premier-League,2024-2025,45.8,0.32,0.8,0.263,498,0.11199999999999999,35
alex mccarthy,Southampton,Premier-League,2024-2025,12.6,0.29,-0.4,0.33299999999999996,74,0.10800000000000001,0
arijanet muric,Ipswich Town,Premier-League,2024-2025,31.4,0.29,-1.6,0.29600000000000004,249,0.157,20
neto,Bournemouth,Premier-League,2024-2025,4.3,0.35,2.3,0.435,30,0.067,3
robin olsen,Aston Villa,Premier-League,2024-2025,6.3,0.4,0.3,0.42700000000000005,40,0.075,0
andre onana,Manchester Utd,Premier-League,2024-2025,44.0,0.31,1.0,0.297,399,0.055,23
stefan ortega,Manchester City,Premier-League,2024-2025,16.3,0.31,-0.7,0.215,133,0.045,12
alex palmer,Ipswich Town,Premier-League,2024-2025,25.1,0.35,-2.9,0.368,249,0.08,13
jordan pickford,Everton,Premier-League,2024-2025,48.8,0.3,4.8,0.488,558,0.055999999999999994,57
nick pope,Newcastle Utd,Premier-League,2024-2025,34.8,0.28,1.8,0.257,359,0.109,64
hakon rafn valdimarsson,Brentford,Premier-League,2024-2025,0.6,0.14,-0.4,0.426,16,0.125,0
aaron ramsdale,Southampton,Premier-League,2024-2025,63.5,0.32,-2.5,0.446,457,0.055,20
david raya,Arsenal,Premier-League,2024-2025,35.1,0.28,1.1,0.299,402,0.132,66
jose sa,Wolves,Premier-League,2024-2025,42.8,0.33,-3.2,0.39299999999999996,432,0.07400000000000001,43
robert sanchez,Chelsea,Premier-League,2024-2025,35.7,0.25,1.7,0.33299999999999996,370,0.127,57
matz sels,Nott'ham Forest,Premier-League,2024-2025,49.1,0.29,3.1,0.684,710,0.027000000000000003,12
jason steele,Brighton,Premier-League,2024-2025,0.5,0.12,-0.5,0.136,22,0.091,3
jakub stolarczyk,Leicester City,Premier-League,2024-2025,15.4,0.35,-0.6,0.46299999999999997,169,0.059000000000000004,8
mark travers,Bournemouth,Premier-League,2024-2025,9.5,0.38,4.5,0.41700000000000004,63,0.016,5
bart verbruggen,Brighton,Premier-League,2024-2025,51.0,0.31,-5.0,0.26899999999999996,414,0.065,47
guglielmo vicario,Tottenham,Premier-League,2024-2025,37.4,0.36,2.4,0.105,312,0.096,31
christian walton,Ipswich Town,Premier-League,2024-2025,17.1,0.4,-1.9,0.426,111,0.10800000000000001,2
danny ward,Leicester City,Premier-League,2024-2025,2.8,0.28,-3.2,0.37,11,0.0,2
emil audero,Como,Serie-A,2024-2025,12.4,0.27,-5.6,0.22,95,0.053,8
jean butez,Como,Serie-A,2024-2025,20.1,0.27,0.1,0.302,190,0.11599999999999999,51
elia caprile,Napoli,Serie-A,2024-2025,2.2,0.27,1.2,0.256,31,0.09699999999999999,3
elia caprile,Cagliari,Serie-A,2024-2025,23.5,0.35,1.5,0.441,266,0.068,23
marco carnesecchi,Atalanta,Serie-A,2024-2025,36.1,0.28,4.1,0.282,319,0.066,45
leandro chichizola,Parma,Serie-A,2024-2025,2.5,0.43,-0.5,0.317,21,0.095,2
giuseppe ciocci,Cagliari,Serie-A,2024-2025,0.0,,0.0,0.0,0,,1
michele di gregorio,Juventus,Serie-A,2024-2025,28.1,0.24,-3.9,0.3,469,0.062,30
wladimiro falcone,Lecce,Serie-A,2024-2025,53.8,0.26,-1.2,0.519,590,0.049,19
david de gea,Fiorentina,Serie-A,2024-2025,37.7,0.26,0.7,0.401,478,0.027000000000000003,28
pierluigi gollini,Genoa,Serie-A,2024-2025,12.2,0.29,-2.8,0.247,92,0.022000000000000002,2
jesse joronen,Venezia,Serie-A,2024-2025,12.6,0.26,-0.4,0.281,125,0.048,5
nicola leali,Genoa,Serie-A,2024-2025,34.3,0.29,6.3,0.39299999999999996,390,0.054000000000000006,14
mike maignan,Milan,Serie-A,2024-2025,36.8,0.26,-1.2,0.174,447,0.057999999999999996,68
christos mandas,Lazio,Serie-A,2024-2025,7.9,0.29,0.9,0.364,130,0.154,22
josep martinez,Inter,Serie-A,2024-2025,4.1,0.31,1.1,0.204,81,0.037000000000000005,3
andrea mazza,Monza,Serie-A,2024-2025,0.0,,0.0,0.2,1,0.0,0
alex meret,Napoli,Serie-A,2024-2025,25.3,0.27,2.3,0.154,378,0.055999999999999994,47
vanja milinkovicsavic,Torino,Serie-A,2024-2025,51.4,0.27,11.4,0.4,585,0.063,46
lorenzo montipo,Hellas Verona,Serie-A,2024-2025,50.8,0.31,-12.2,0.599,498,0.06,23
juan musso,Atalanta,Serie-A,2024-2025,0.7,0.19,0.7,0.368,15,0.0,1
maduka okoye,Udinese,Serie-A,2024-2025,37.0,0.32,0.0,0.299,315,0.044000000000000004,23
daniele padelli,Udinese,Serie-A,2024-2025,0.8,0.26,0.8,0.33299999999999996,11,0.091,0
alberto paleari,Torino,Serie-A,2024-2025,2.2,0.32,-0.8,0.34600000000000003,12,0.0,5
rui patricio,Atalanta,Serie-A,2024-2025,4.2,0.34,1.2,0.18100000000000002,29,0.0,10
simone perilli,Hellas Verona,Serie-A,2024-2025,3.0,0.3,1.0,0.8240000000000001,46,0.043,3
mattia perin,Juventus,Serie-A,2024-2025,3.7,0.23,0.7,0.22399999999999998,50,0.06,3
semuel pizzignacco,Monza,Serie-A,2024-2025,12.4,0.33,-3.6,0.337,119,0.034,7
ivan provedel,Lazio,Serie-A,2024-2025,31.5,0.32,-8.5,0.308,366,0.079,32
ionut radu,Venezia,Serie-A,2024-2025,19.2,0.26,1.2,0.47700000000000004,215,0.06,3
federico ravaglia,Bologna,Serie-A,2024-2025,11.7,0.46,-2.3,0.275,97,0.113,9
pepe reina,Como,Serie-A,2024-2025,12.1,0.28,-1.9,0.324,148,0.013999999999999999,6
razvan sava,Udinese,Serie-A,2024-2025,14.5,0.24,0.5,0.332,202,0.02,13
simone scuffet,Cagliari,Serie-A,2024-2025,20.4,0.28,-2.6,0.42,189,0.032,7
simone scuffet,Napoli,Serie-A,2024-2025,1.6,0.4,0.6,0.257,29,0.034,0
jacopo seghetti,Empoli,Serie-A,2024-2025,1.9,0.31,-1.1,0.375,4,0.0,1
alen sherri,Cagliari,Serie-A,2024-2025,10.9,0.35,-0.1,0.35700000000000004,85,0.047,5
benjamin siegrist,Genoa,Serie-A,2024-2025,2.4,0.2,0.4,0.33299999999999996,26,0.038,1
marco silvestri,Empoli,Serie-A,2024-2025,8.0,0.32,-2.0,0.607,62,0.016,4
ukasz skorupski,Bologna,Serie-A,2024-2025,28.7,0.34,-2.3,0.27899999999999997,215,0.084,23
daniele sommariva,Genoa,Serie-A,2024-2025,0.9,0.3,-0.1,0.667,19,0.0,0
yann sommer,Inter,Serie-A,2024-2025,31.7,0.24,0.7,0.16899999999999998,356,0.039,14
marco sportiello,Milan,Serie-A,2024-2025,2.2,0.36,0.2,0.217,15,0.067,3
filip stankovic,Venezia,Serie-A,2024-2025,25.2,0.26,3.2,0.294,249,0.048,13
zion suzuki,Parma,Serie-A,2024-2025,51.4,0.32,0.4,0.414,614,0.10400000000000001,38
mile svilar,Roma,Serie-A,2024-2025,42.5,0.26,8.5,0.23800000000000002,495,0.061,33
pietro terracciano,Fiorentina,Serie-A,2024-2025,3.1,0.24,0.1,0.282,20,0.05,3
stefano turati,Monza,Serie-A,2024-2025,47.4,0.31,-2.6,0.38299999999999995,414,0.053,26
devis vasquez,Empoli,Serie-A,2024-2025,40.2,0.31,-4.8,0.485,490,0.073,15
ben alexander voll,St. Pauli,Bundesliga,2024-2025,2.4,0.48,0.4,0.595,15,0.0,0
noah atubolu,Freiburg,Bundesliga,2024-2025,37.0,0.3,0.0,0.324,377,0.09,28
oliver baumann,Hoffenheim,Bundesliga,2024-2025,52.1,0.36,1.1,0.41600000000000004,407,0.044000000000000004,31
tiago cardoso,Gladbach,Bundesliga,2024-2025,4.7,0.2,1.7,0.27,96,0.146,1
finn dahmen,Augsburg,Bundesliga,2024-2025,24.2,0.29,7.2,0.386,337,0.027000000000000003,26
thomas dahne,Holstein Kiel,Bundesliga,2024-2025,18.5,0.3,0.5,0.257,177,0.085,5
patrick drewes,Bochum,Bundesliga,2024-2025,42.3,0.38,-3.7,0.501,285,0.042,33
frank feller,Heidenheim,Bundesliga,2024-2025,0.3,0.16,0.3,0.426,25,0.04,1
kamil grabara,Wolfsburg,Bundesliga,2024-2025,49.7,0.35,1.7,0.41700000000000004,413,0.036000000000000004,19
peter gulacsi,RB Leipzig,Bundesliga,2024-2025,42.6,0.3,3.6,0.203,434,0.053,34
timo horn,Bochum,Bundesliga,2024-2025,18.5,0.35,-3.5,0.608,182,0.033,18
lukas hradecky,Leverkusen,Bundesliga,2024-2025,35.8,0.28,0.8,0.309,296,0.040999999999999995,39
gregor kobel,Dortmund,Bundesliga,2024-2025,47.4,0.35,1.4,0.237,420,0.052000000000000005,47
matej kovar,Leverkusen,Bundesliga,2024-2025,3.5,0.22,-0.5,0.214,52,0.038,6
nediljko labrovic,Augsburg,Bundesliga,2024-2025,25.9,0.32,-6.1,0.38799999999999996,217,0.055,18
alexander meyer,Dortmund,Bundesliga,2024-2025,4.0,0.36,0.0,0.355,24,0.042,2
florian muller,Freiburg,Bundesliga,2024-2025,11.6,0.35,-3.4,0.449,104,0.057999999999999996,9
kevin muller,Heidenheim,Bundesliga,2024-2025,59.3,0.33,-4.7,0.314,453,0.046,20
marius muller,Wolfsburg,Bundesliga,2024-2025,7.6,0.33,2.6,0.391,99,0.091,3
manuel neuer,Bayern Munich,Bundesliga,2024-2025,15.0,0.33,0.0,0.2,162,0.037000000000000005,40
moritz nicolas,Gladbach,Bundesliga,2024-2025,29.9,0.29,6.9,0.233,319,0.055999999999999994,14
alexander nubel,Stuttgart,Bundesliga,2024-2025,44.8,0.32,-7.2,0.301,415,0.051,57
jonas omlin,Gladbach,Bundesliga,2024-2025,23.8,0.31,-2.2,0.349,166,0.018000000000000002,13
daniel peretz,Bayern Munich,Bundesliga,2024-2025,4.0,0.58,-1.0,0.25,17,0.0,8
luca philipp,Hoffenheim,Bundesliga,2024-2025,12.3,0.34,-1.7,0.51,84,0.036000000000000004,4
lasse rie,Mainz 05,Bundesliga,2024-2025,2.2,0.27,0.2,0.514,23,0.087,8
frederik rnnow,Union Berlin,Bundesliga,2024-2025,39.3,0.32,3.3,0.366,483,0.083,35
kaua santos,Eint Frankfurt,Bundesliga,2024-2025,14.3,0.3,3.3,0.371,137,0.11699999999999999,18
alexander schwolow,Union Berlin,Bundesliga,2024-2025,9.7,0.32,-3.3,0.313,85,0.0,4
tobias sippel,Gladbach,Bundesliga,2024-2025,1.2,0.3,-1.8,0.455,13,0.0,0
kevin trapp,Eint Frankfurt,Bundesliga,2024-2025,34.9,0.3,1.9,0.317,394,0.061,28
sven ulreich,Bayern Munich,Bundesliga,2024-2025,0.0,,0.0,0.276,7,0.14300000000000002,1
jonas urbig,Bayern Munich,Bundesliga,2024-2025,10.3,0.38,-1.7,0.262,81,0.062,21
maarten vandevoordt,RB Leipzig,Bundesliga,2024-2025,7.3,0.36,-1.7,0.23,78,0.09,11
nikola vasilj,St. Pauli,Bundesliga,2024-2025,47.4,0.32,9.4,0.342,411,0.057999999999999996,27
timon weiner,Holstein Kiel,Bundesliga,2024-2025,47.2,0.32,-11.8,0.402,491,0.055,18
robin zentner,Mainz 05,Bundesliga,2024-2025,45.0,0.29,4.0,0.462,524,0.086,58
michael zetterer,Werder Bremen,Bundesliga,2024-2025,52.9,0.33,-1.1,0.27699999999999997,464,0.075,34
dimitry bertaud,Montpellier,Ligue-1,2024-2025,8.8,0.35,-2.2,0.384,55,0.145,3
marco bizot,Brest,Ligue-1,2024-2025,46.2,0.31,-6.8,0.42,459,0.07200000000000001,53
marcin buka,Nice,Ligue-1,2024-2025,43.0,0.26,3.0,0.228,470,0.083,33
patrik carlgren,Nantes,Ligue-1,2024-2025,8.5,0.3,1.5,0.364,80,0.013000000000000001,1
lucas chevalier,Lille,Ligue-1,2024-2025,42.2,0.32,7.2,0.257,373,0.055999999999999994,24
gregoire coudert,Brest,Ligue-1,2024-2025,2.8,0.22,-1.2,0.28300000000000003,30,0.033,3
theo de percin,Auxerre,Ligue-1,2024-2025,3.5,0.22,0.5,0.457,38,0.079,3
remy descamps,Lyon,Ligue-1,2024-2025,1.4,0.23,-0.6,0.14300000000000002,7,0.0,0
arthur desmas,Le Havre,Ligue-1,2024-2025,38.7,0.4,0.7,0.285,277,0.043,7
yehvann diouf,Reims,Ligue-1,2024-2025,61.6,0.33,14.6,0.344,554,0.055999999999999994,42
alex dominguez,Toulouse,Ligue-1,2024-2025,0.0,,0.0,0.25,7,0.0,0
gianluigi donnarumma,Paris S-G,Ligue-1,2024-2025,21.7,0.29,-3.3,0.136,199,0.05,19
yahia fofana,Angers,Ligue-1,2024-2025,63.5,0.34,12.5,0.386,531,0.09,20
gauthier gallon,Rennes,Ligue-1,2024-2025,0.0,,0.0,0.133,2,0.0,1
mathieu gorgelin,Le Havre,Ligue-1,2024-2025,34.2,0.4,2.2,0.32899999999999996,269,0.078,8
kjetil haug,Toulouse,Ligue-1,2024-2025,6.6,0.45,-0.4,0.379,72,0.069,3
karljohan johnsson,Strasbourg,Ligue-1,2024-2025,6.7,0.26,0.7,0.156,48,0.042,3
herve koffi,Lens,Ligue-1,2024-2025,11.1,0.38,3.1,0.29600000000000004,53,0.075,2
philipp kohn,Monaco,Ligue-1,2024-2025,17.2,0.26,-1.8,0.257,225,0.071,20
alban lafont,Nantes,Ligue-1,2024-2025,16.8,0.3,-0.2,0.34,200,0.08,6
gautier larsonneur,Saint-Étienne,Ligue-1,2024-2025,73.5,0.3,-1.5,0.38799999999999996,510,0.047,33
benjamin lecomte,Montpellier,Ligue-1,2024-2025,57.3,0.31,-5.7,0.425,408,0.049,26
donovan leon,Auxerre,Ligue-1,2024-2025,55.8,0.32,10.8,0.53,518,0.054000000000000006,39
anthony lopes,Nantes,Ligue-1,2024-2025,25.6,0.32,0.6,0.40399999999999997,308,0.052000000000000005,8
radosaw majecki,Monaco,Ligue-1,2024-2025,21.1,0.31,-0.9,0.266,154,0.091,18
steve mandanda,Rennes,Ligue-1,2024-2025,17.0,0.29,-4.0,0.336,175,0.04,21
lucas perri,Lyon,Ligue-1,2024-2025,47.8,0.29,3.8,0.281,415,0.063,29
ore petrovic,Strasbourg,Ligue-1,2024-2025,45.9,0.27,9.9,0.209,491,0.084,47
guillaume restes,Toulouse,Ligue-1,2024-2025,27.9,0.29,-5.1,0.308,360,0.013999999999999999,34
geronimo rulli,Marseille,Ligue-1,2024-2025,47.5,0.33,2.5,0.15,309,0.091,59
mathew ryan,Lens,Ligue-1,2024-2025,19.5,0.28,2.5,0.313,176,0.114,10
matvei safonov,Paris S-G,Ligue-1,2024-2025,7.2,0.26,-0.8,0.263,94,0.053,14
brice samba,Rennes,Ligue-1,2024-2025,29.2,0.32,2.2,0.244,225,0.071,15
brice samba,Lens,Ligue-1,2024-2025,17.5,0.26,3.5,0.297,152,0.11199999999999999,22
arnau tenas,Paris S-G,Ligue-1,2024-2025,1.5,0.37,0.5,0.133,5,0.2,1
melvin zinga,Angers,Ligue-1,2024-2025,2.4,0.41,0.4,0.409,20,0.05,2
