player_name,player_id,team_name,position,other_positions,date_of_birth,age,height_m,nationality,market_value,joined,contract_expires,Value last updated,Citizenship,Last club,Since,Market value history,Transfer history,Player URL,height_cm
David Raya,262749,Arsenal,Goalkeeper,,15/09/1995 (30),30,1.83,Spain,€40.00m,04/07/2024,30/06/2028,30/05/2025,['Spain'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/david-raya/profil/spieler/262749,183.0
Kepa Arrizabalaga,192279,Arsenal,Goalkeeper,,03/10/1994 (31),31,1.88,Spain,€8.00m,01/07/2025,30/06/2028,17/10/2025,['Spain'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/kepa-arrizabalaga/profil/spieler/192279,188.0
William Saliba,495666,Arsenal,Centre-Back,,24/03/2001 (24),24,1.92,France,€80.00m,25/07/2019,30/06/2030,30/05/2025,"['France', 'Cameroon']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/william-saliba/profil/spieler/495666,192.0
Gabriel Magalhães,435338,Arsenal,Centre-Back,,19/12/1997 (27),27,1.9,Brazil,€75.00m,01/09/2020,30/06/2029,30/05/2025,['Brazil'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/gabriel-magalhaes/profil/spieler/435338,190.0
Piero Hincapié,659813,Arsenal,Centre-Back,"               0
0      Left-Back
1  Left Midfield",09/01/2002 (23),23,1.84,Ecuador,€50.00m,01/09/2025,30/06/2026,05/06/2025,['Ecuador'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/piero-hincapie/profil/spieler/659813,184.0
Cristhian Mosquera,646750,Arsenal,Centre-Back,"            0
0  Right-Back",27/06/2004 (21),21,1.91,Spain,€35.00m,24/07/2025,30/06/2030,17/10/2025,"['Spain', 'Colombia']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/cristhian-mosquera/profil/spieler/646750,191.0
Myles Lewis-Skelly,890721,Arsenal,Left-Back,"                    0
0  Defensive Midfield
1    Central Midfield",26/09/2006 (19),19,1.78,England,€45.00m,01/07/2024,30/06/2030,30/05/2025,"['England', 'Barbados']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/myles-lewis-skelly/profil/spieler/890721,178.0
Riccardo Calafiori,502821,Arsenal,Left-Back,"             0
0  Centre-Back",19/05/2002 (23),23,1.88,Italy,€40.00m,29/07/2024,30/06/2029,17/10/2025,['Italy'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/riccardo-calafiori/profil/spieler/502821,188.0
Jurriën Timber,420243,Arsenal,Right-Back,"             0
0  Centre-Back
1    Left-Back",17/06/2001 (24),24,1.79,Netherlands,€60.00m,14/07/2023,30/06/2028,17/10/2025,"['Curacao', 'Netherlands']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/jurrien-timber/profil/spieler/420243,179.0
Ben White,335721,Arsenal,Right-Back,"                    0
0         Centre-Back
1  Defensive Midfield",08/10/1997 (28),28,1.86,England,€38.00m,30/07/2021,30/06/2028,17/10/2025,['England'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/ben-white/profil/spieler/335721,186.0
Martín Zubimendi,423440,Arsenal,Defensive Midfield,"                  0
0  Central Midfield",02/02/1999 (26),26,1.81,Spain,€70.00m,06/07/2025,30/06/2030,17/10/2025,['Spain'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/martin-zubimendi/profil/spieler/423440,181.0
Christian Nørgaard,148367,Arsenal,Defensive Midfield,"                  0
0  Central Midfield",10/03/1994 (31),31,1.87,Denmark,€11.00m,10/07/2025,30/06/2027,30/05/2025,['Denmark'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/christian-norgaard/profil/spieler/148367,187.0
Declan Rice,357662,Arsenal,Central Midfield,"                    0
0  Defensive Midfield",14/01/1999 (26),26,1.88,England,€120.00m,15/07/2023,30/06/2028,30/05/2025,"['England', 'Ireland']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/declan-rice/profil/spieler/357662,188.0
Mikel Merino,338424,Arsenal,Central Midfield,"                    0
0      Centre-Forward
1  Attacking Midfield",22/06/1996 (29),29,1.89,Spain,€35.00m,27/08/2024,30/06/2028,30/05/2025,['Spain'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/mikel-merino/profil/spieler/338424,189.0
Martin Ødegaard,316264,Arsenal,Attacking Midfield,"                  0
0      Right Winger
1  Central Midfield",17/12/1998 (26),26,1.78,Norway,€80.00m,20/08/2021,30/06/2028,17/10/2025,['Norway'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/martin-odegaard/profil/spieler/316264,178.0
Eberechi Eze,479999,Arsenal,Attacking Midfield,"               0
0    Left Winger
1  Left Midfield",29/06/1998 (27),27,1.78,England,€65.00m,23/08/2025,30/06/2029,17/10/2025,"['England', 'Nigeria']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/eberechi-eze/profil/spieler/479999,178.0
Ethan Nwaneri,890719,Arsenal,Attacking Midfield,"                0
0    Right Winger
1  Centre-Forward",21/03/2007 (18),18,1.76,England,€45.00m,01/07/2024,30/06/2030,17/10/2025,"['England', 'Nigeria']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/ethan-nwaneri/profil/spieler/890719,176.0
Gabriel Martinelli,655488,Arsenal,Left Winger,"              0
0  Right Winger",18/06/2001 (24),24,1.78,Brazil,€45.00m,02/07/2019,30/06/2027,17/10/2025,"['Italy', 'Brazil']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/gabriel-martinelli/profil/spieler/655488,178.0
Leandro Trossard,144028,Arsenal,Left Winger,"                0
0  Second Striker
1  Centre-Forward",04/12/1994 (30),30,1.72,Belgium,€22.00m,20/01/2023,30/06/2027,30/05/2025,['Belgium'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/leandro-trossard/profil/spieler/144028,172.0
