player_name,player_id,team_name,position,other_positions,date_of_birth,age,height_m,nationality,market_value,joined,contract_expires,Value last updated,Citizenship,Last club,Since,Market value history,Transfer history,Player URL,height_cm
Josep Martínez,388516,Inter,Goalkeeper,,27/05/1998 (27),27,1.91,Spain,€12.00m,09/07/2024,30/06/2029,17/06/2025,['Spain'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/josep-martinez/profil/spieler/388516,191.0
Yann Sommer,42205,Inter,Goalkeeper,,17/12/1988 (36),36,1.83,Switzerland,€4.00m,07/08/2023,30/06/2026,17/06/2025,['Switzerland'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/yann-sommer/profil/spieler/42205,183.0
Alessandro Calligaris,746711,Inter U23,Goalkeeper,,07/03/2005 (20),20,1.85,Italy,€350k,01/07/2025,30/06/2029,27/06/2025,['Italy'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/alessandro-calligaris/profil/spieler/746711,185.0
Raffaele Di Gennaro,70580,Inter,Goalkeeper,,03/10/1993 (32),32,1.88,Italy,€300k,13/07/2023,30/06/2026,17/06/2025,['Italy'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/raffaele-di-gennaro/profil/spieler/70580,188.0
Alain Taho,1070076,Inter U20,Goalkeeper,,30/04/2007 (18),18,,Albania,,01/07/2024,-,,"['Albania', 'Italy']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/alain-taho/profil/spieler/1070076,
Alessandro Bastoni,315853,Inter,Centre-Back,,13/04/1999 (26),26,1.9,Italy,€80.00m,31/08/2017,30/06/2028,17/06/2025,['Italy'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/alessandro-bastoni/profil/spieler/315853,190.0
Yann Bisseck,441986,Inter,Centre-Back,,29/11/2000 (24),24,1.96,Germany,€35.00m,12/07/2023,30/06/2029,17/06/2025,"['Cameroon', 'Germany']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/yann-bisseck/profil/spieler/441986,196.0
Benjamin Pavard,353366,Marseille,Centre-Back,"            0
0  Right-Back",28/03/1996 (29),29,1.86,France,€20.00m,01/09/2025,30/06/2026,10/10/2025,['France'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/benjamin-pavard/profil/spieler/353366,186.0
Stefan de Vrij,111196,Inter,Centre-Back,,05/02/1992 (33),33,1.89,Netherlands,€5.00m,01/07/2018,30/06/2026,17/06/2025,['Netherlands'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/stefan-de-vrij/profil/spieler/111196,189.0
Tomás Palacios,993645,Inter,Centre-Back,,28/04/2003 (22),22,1.96,Argentina,€4.00m,30/08/2024,30/06/2029,17/06/2025,['Argentina'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/tomas-palacios/profil/spieler/993645,196.0
Francesco Acerbi,131075,Inter,Centre-Back,,10/02/1988 (37),37,1.92,Italy,€3.00m,01/07/2023,30/06/2026,17/06/2025,['Italy'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/francesco-acerbi/profil/spieler/131075,192.0
Christos Alexiou,898812,Inter U23,Centre-Back,,30/06/2005 (20),20,1.86,Greece,€800k,01/07/2025,30/06/2029,27/06/2025,['Greece'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/christos-alexiou/profil/spieler/898812,186.0
Alessandro Fontanarosa,616162,Avellino,Centre-Back,"           0
0  Left-Back",07/02/2003 (22),22,1.85,Italy,€700k,20/08/2025,30/06/2028,02/06/2025,['Italy'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/alessandro-fontanarosa/profil/spieler/616162,185.0
