player_name,player_id,team_name,position,other_positions,date_of_birth,age,height_m,nationality,market_value,joined,contract_expires,Value last updated,Citizenship,Last club,Since,Market value history,Transfer history,Player URL,height_cm
Gianluigi Donnarumma,315858,Man City,Goalkeeper,,25/02/1999 (26),26,1.96,Italy,€40.00m,01/09/2025,30/06/2030,03/06/2025,['Italy'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/gianluigi-donnarumma/profil/spieler/315858,196.0
Keylor Navas,79422,UNAM Pumas,Goalkeeper,,15/12/1986 (38),38,1.85,Costa Rica,€1.00m,21/07/2025,30/06/2026,02/06/2025,"['Spain', 'Costa Rica']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/keylor-navas/profil/spieler/79422,185.0
Sergio Rico,207302,Al-Gharafa,Goalkeeper,,01/09/1993 (32),32,1.96,Spain,€1.20m,26/09/2024,30/06/2026,28/05/2025,['Spain'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/sergio-rico/profil/spieler/207302,196.0
Alexandre Letellier,93730,Retired,Goalkeeper,,11/12/1990 (34),34,1.93,France,,,,,['France'],PSG,13/10/2025,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/alexandre-letellier/profil/spieler/93730,193.0
Garissone Innocent,460626,Without Club,Goalkeeper,,16/04/2000 (25),25,1.92,Haiti,€150k,,,21/10/2025,"['France', 'Haiti']",Riteriai,10/05/2025,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/garissone-innocent/profil/spieler/460626,192.0
Denis Franchi,606576,Ternana,Goalkeeper,,22/10/2002 (23),23,1.89,Italy,€175k,31/01/2024,30/06/2027,19/06/2025,['Italy'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/denis-franchi/profil/spieler/606576,189.0
Marquinhos,181767,PSG,Centre-Back,"                    0
0  Defensive Midfield
1          Right-Back",14/05/1994 (31),31,1.83,Brazil,€35.00m,19/07/2013,30/06/2028,03/06/2025,"['Portugal', 'Brazil']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/marquinhos/profil/spieler/181767,183.0
Presnel Kimpembe,282041,Qatar SC,Centre-Back,,13/08/1995 (30),30,1.83,France,€5.00m,07/09/2025,30/06/2026,03/06/2025,"['France', 'DR Congo']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/presnel-kimpembe/profil/spieler/282041,183.0
Thilo Kehrer,228948,Monaco,Centre-Back,"                    0
0          Right-Back
1  Defensive Midfield",21/09/1996 (29),29,1.86,Germany,€20.00m,01/07/2024,30/06/2028,03/06/2025,"['Germany', 'Burundi']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/thilo-kehrer/profil/spieler/228948,186.0
Abdou Diallo,229005,Al-Duhail SC,Centre-Back,"                    0
0           Left-Back
1  Defensive Midfield",04/05/1996 (29),29,1.86,Senegal,€5.00m,08/09/2025,30/06/2026,28/05/2025,"['France', 'Senegal']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/abdou-diallo/profil/spieler/229005,186.0
Danilo Pereira,141050,Al-Ittihad,Centre-Back,"                    0
0  Defensive Midfield
1    Central Midfield",09/09/1991 (34),34,1.88,Portugal,€4.50m,02/09/2024,30/06/2026,27/05/2025,"['Portugal', 'Guinea-Bissau']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/danilo-pereira/profil/spieler/141050,188.0
Sergio Ramos,25557,Monterrey,Centre-Back,"            0
0  Right-Back",30/03/1986 (39),39,1.84,Spain,€1.00m,06/02/2025,31/12/2025,22/09/2025,['Spain'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/sergio-ramos/profil/spieler/25557,184.0
El Chadaille Bitshiabu,787912,Leipzig,Centre-Back,,16/05/2005 (20),20,1.96,France,€15.00m,18/07/2023,30/06/2029,14/10/2025,"['France', 'DR Congo']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/el-chadaille-bitshiabu/profil/spieler/787912,196.0
Nuno Mendes,616341,PSG,Left-Back,"               0
0  Left Midfield",19/06/2002 (23),23,1.8,Portugal,€75.00m,01/07/2022,30/06/2029,10/10/2025,['Portugal'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/nuno-mendes/profil/spieler/616341,180.0
Juan Bernat,126719,Without Club,Left-Back,"               0
0  Left Midfield",01/03/1993 (32),32,1.7,Spain,€1.50m,,,21/10/2025,['Spain'],Getafe,01/07/2025,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/juan-bernat/profil/spieler/126719,170.0
