player_name,player_id,team_name,position,other_positions,date_of_birth,age,height_m,nationality,market_value,joined,contract_expires,Value last updated,Citizenship,Last club,Since,Market value history,Transfer history,Player URL,height_cm
Manuel Neuer,17259,Bayern Munich,Goalkeeper,,27/03/1986 (39),39,1.93,Germany,€4.00m,01/07/2011,30/06/2026,05/06/2025,['Germany'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/manuel-neuer/profil/spieler/17259,193.0
Sven Ulreich,40680,Bayern Munich,Goalkeeper,,03/08/1988 (37),37,1.92,Germany,€500k,01/07/2021,30/06/2026,05/06/2025,['Germany'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/sven-ulreich/profil/spieler/40680,192.0
Christian Früchtl,336307,Lecce,Goalkeeper,,28/01/2000 (25),25,1.93,Germany,€1.30m,01/07/2024,30/06/2027,17/06/2025,['Germany'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/christian-fruchtl/profil/spieler/336307,193.0
Ron-Thorben Hoffmann,317444,E. Braunschweig,Goalkeeper,,04/04/1999 (26),26,1.92,Germany,€900k,01/07/2025,30/06/2027,19/06/2025,['Germany'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/ron-thorben-hoffmann/profil/spieler/317444,192.0
Dayot Upamecano,344695,Bayern Munich,Centre-Back,,27/10/1998 (27),27,1.86,France,€60.00m,05/07/2021,30/06/2026,14/10/2025,"['France', 'Guinea-Bissau']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/dayot-upamecano/profil/spieler/344695,186.0
Niklas Süle,166601,Dortmund,Centre-Back,"            0
0  Right-Back",03/09/1995 (30),30,1.95,Germany,€8.00m,01/07/2022,30/06/2026,05/06/2025,['Germany'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/niklas-sule/profil/spieler/166601,195.0
Benjamin Pavard,353366,Marseille,Centre-Back,"            0
0  Right-Back",28/03/1996 (29),29,1.86,France,€20.00m,01/09/2025,30/06/2026,10/10/2025,['France'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/benjamin-pavard/profil/spieler/353366,186.0
Tanguy Nianzou,538996,Sevilla FC,Centre-Back,"                    0
0  Defensive Midfield",07/06/2002 (23),23,1.91,France,€1.50m,17/08/2022,30/06/2027,09/06/2025,"['France', ""Cote d'Ivoire""]",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/tanguy-nianzou/profil/spieler/538996,191.0
Chris Richards,578539,Crystal Palace,Centre-Back,"            0
0  Right-Back",28/03/2000 (25),25,1.88,United States,€22.00m,27/07/2022,30/06/2027,17/10/2025,['United States'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/chris-richards/profil/spieler/578539,188.0
Bright Arrey-Mbi,580193,Braga,Centre-Back,,26/03/2003 (22),22,1.87,Germany,€6.00m,17/07/2024,30/06/2029,30/05/2025,"['England', 'Cameroon', 'Germany']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/bright-arrey-mbi/profil/spieler/580193,187.0
Jamie Lawrence,522248,WSG Tirol,Centre-Back,,10/11/2002 (23),23,2.01,Germany,€500k,02/07/2024,30/06/2026,06/06/2025,"['Germany', 'Nigeria']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/jamie-lawrence/profil/spieler/522248,201.0
Alphonso Davies,424204,Bayern Munich,Left-Back,"               0
0    Left Winger
1  Left Midfield",02/11/2000 (25),25,1.85,Canada,€50.00m,01/01/2019,30/06/2030,05/06/2025,"['Ghana', 'Canada', 'Liberia']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/alphonso-davies/profil/spieler/424204,185.0
Lucas Hernández,281963,PSG,Left-Back,"             0
0  Centre-Back",14/02/1996 (29),29,1.84,France,€25.00m,09/07/2023,30/06/2028,03/06/2025,"['France', 'Spain']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/lucas-hernandez/profil/spieler/281963,184.0
Omar Richards,424881,Rio Ave,Left-Back,"               0
0  Left Midfield",15/02/1998 (27),27,1.74,England,€2.50m,01/09/2025,30/06/2026,30/05/2025,"['England', 'Jamaica']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/omar-richards/profil/spieler/424881,174.0
Josip Stanisic,483046,Bayern Munich,Right-Back,"             0
0  Centre-Back
1    Left-Back",02/04/2000 (25),25,1.87,Croatia,€32.00m,01/08/2021,30/06/2029,05/06/2025,"['Germany', 'Croatia']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/josip-stanisic/profil/spieler/483046,187.0
Bouna Sarr,190685,Without Club,Right-Back,"                0
0  Right Midfield
1    Right Winger",31/01/1992 (33),33,1.78,Senegal,€400k,,,21/10/2025,"['France', 'Senegal']",Bayern Munich,01/07/2024,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/bouna-sarr/profil/spieler/190685,178.0
Joshua Kimmich,161056,Bayern Munich,Defensive Midfield,"                  0
0        Right-Back
1  Central Midfield",08/02/1995 (30),30,1.77,Germany,€45.00m,02/07/2015,30/06/2029,05/06/2025,['Germany'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/joshua-kimmich/profil/spieler/161056,177.0
Marc Roca,336869,Real Betis,Defensive Midfield,"                  0
0  Central Midfield",26/11/1996 (28),28,1.84,Spain,€4.00m,01/07/2024,30/06/2029,02/10/2025,['Spain'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/marc-roca/profil/spieler/336869,184.0
Nicolas Feldhahn,31741,Retired,Defensive Midfield,"                  0
0       Centre-Back
1  Central Midfield",14/08/1986 (39),39,,Germany,,,,,['Germany'],FC Bayern II,01/07/2022,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/nicolas-feldhahn/profil/spieler/31741,
Leon Goretzka,153084,Bayern Munich,Central Midfield,"                    0
0  Attacking Midfield
1  Defensive Midfield",06/02/1995 (30),30,1.89,Germany,€22.00m,01/07/2018,30/06/2026,05/06/2025,['Germany'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/leon-goretzka/profil/spieler/153084,189.0
Marcel Sabitzer,106987,Dortmund,Central Midfield,"                    0
0  Attacking Midfield",17/03/1994 (31),31,1.78,Austria,€8.00m,24/07/2023,30/06/2027,05/06/2025,['Austria'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/marcel-sabitzer/profil/spieler/106987,178.0
Corentin Tolisso,190393,Lyon,Central Midfield,"                    0
0  Defensive Midfield
1  Attacking Midfield",03/08/1994 (31),31,1.81,France,€12.00m,01/07/2022,30/06/2027,03/06/2025,"['France', 'Togo']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/corentin-tolisso/profil/spieler/190393,181.0
Michaël Cuisance,344600,Hertha BSC,Central Midfield,"                    0
0        Right Winger
1  Attacking Midfield",16/08/1999 (26),26,1.81,France,€3.50m,01/07/2024,30/06/2029,19/06/2025,['France'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/michael-cuisance/profil/spieler/344600,181.0
Timo Kern,57574,Retired,Central Midfield,"                    0
0      Centre-Forward
1  Attacking Midfield",16/01/1990 (35),35,1.79,Germany,,,,,['Germany'],FC Bayern II,01/01/2025,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/timo-kern/profil/spieler/57574,179.0
Nemanja Motika,604323,NK Olimpija,Left Midfield,"                0
0  Right Midfield
1  Second Striker",20/03/2003 (22),22,1.79,Serbia,€500k,01/07/2023,31/05/2026,19/06/2025,"['Serbia', 'Germany']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/nemanja-motika/profil/spieler/604323,179.0
Jamal Musiala,580195,Bayern Munich,Attacking Midfield,"                  0
0  Central Midfield
1       Left Winger",26/02/2003 (22),22,1.84,Germany,€140.00m,01/07/2020,30/06/2030,05/06/2025,"['England', 'Germany']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/jamal-musiala/profil/spieler/580195,184.0
Paul Wanner,900909,PSV,Attacking Midfield,"              0
0  Right Winger
1   Left Winger",23/12/2005 (19),19,1.85,Germany,€18.00m,22/08/2025,30/06/2030,05/06/2025,"['Austria', 'Germany']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/paul-wanner/profil/spieler/900909,185.0
