Player,Squad,Liga,Season,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,Touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle
david arguelles,getafe,La-Liga,2024-2025,2,2,3,0,7,0,,0,,12,0,0,0,0
jose arnaiz,osasuna,La-Liga,2024-2025,17,44,58,11,117,5,0.2,2,0.4,171,2,3,5,5
sergio arribas,betis,La-Liga,2024-2025,24,43,4,0,71,0,,0,,75,0,0,0,0
takuma asano,mallorca,La-Liga,2024-2025,53,141,169,53,356,25,0.24,16,0.64,589,12,12,27,12
raul asencio,real madrid,La-Liga,2024-2025,623,501,37,11,1149,9,0.667,0,0.0,1874,5,1,5,6
iago aspas,celta vigo,La-Liga,2024-2025,75,510,466,67,1032,27,0.556,8,0.29600000000000004,1573,39,15,35,20
yaser asprilla,girona,La-Liga,2024-2025,69,319,453,48,831,64,0.45299999999999996,25,0.391,1860,37,29,45,17
ezequiel avila,betis,La-Liga,2024-2025,34,131,163,34,323,11,0.455,5,0.455,334,7,4,23,7
adam aznou,valladolid,La-Liga,2024-2025,191,241,89,12,508,41,0.46299999999999997,15,0.366,804,6,3,28,12
cesar azpilicueta,atletico madrid,La-Liga,2024-2025,232,393,137,11,759,2,0.5,1,0.5,1318,18,1,8,1
papa ba,girona,La-Liga,2024-2025,5,10,5,1,20,2,0.5,1,0.5,24,0,1,1,1
loic bade,sevilla,La-Liga,2024-2025,1298,799,54,20,2135,22,0.773,2,0.091,2853,10,1,17,8
alex baena,villarreal,La-Liga,2024-2025,209,634,762,89,1568,56,0.375,27,0.48200000000000004,3201,93,15,42,32
eric bailly,villarreal,La-Liga,2024-2025,196,186,13,5,394,3,1.0,0,0.0,519,4,0,6,1
stefan bajcetic,las palmas,La-Liga,2024-2025,148,339,90,6,570,24,0.45799999999999996,9,0.375,538,9,0,21,6
cedric bakambu,betis,La-Liga,2024-2025,16,97,115,33,226,7,0.14300000000000002,5,0.7140000000000001,274,4,7,28,11
alejandro balde,barcelona,La-Liga,2024-2025,310,843,596,47,1721,110,0.418,44,0.4,3463,68,16,44,27
ivan balliu,rayo vallecano,La-Liga,2024-2025,262,340,166,10,762,6,0.5,1,0.16699999999999998,441,6,2,12,2
